"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
"sec0113",1,50273,1953,"W","וְ ",,,,,", , , ",,"conj",,"and",,,"Mitchel_Sec1.A (50273-2200)",,"y; también, aún; pero","y; también, aún; pero",,"done",,,,,,,,,,,,,,,,
"sec0111",2,30380,1793,"H","הַ I",,,,,", , , ",,"art",,"the",,,"Mitchel_Sec1.A (50273-2200)",," el, la, los, las"," el, la, los, las",,"done",,,,,,,,,,,,,,,,
"sec0120",3,20069,3682,"L","לְ ",,,,,", , , ",,"prep",,"to, in regard to, for",,,"Mitchel_Sec1.A (50273-2200)",,"a, hacia (prep); Haz, Sí (voc); con respecto a, por  ","a, hacia (prep); Haz, Sí (voc); con respecto a, por  ",,"done",,,,,,,,,,,,,,,,
"sec0108",4,15541,834,"B","בְּ ",,,,,", , , ",,"prep",,"in, at (time, place); with; by; by means of",,,"Mitchel_Sec1.A (50273-2200)",,"en, a (hora, lugar); con; por; por medio de","en, a (hora, lugar); con; por; por medio de",,"done",,,,,,,,,,,,,,,,
"sec0107",5,11016,814,">T","אֵת I",,,,,", , , ",,"prep",,"<object marker>",,,"Mitchel_Sec1.A (50273-2200)",,"<OD> signo de objeto, objecto directo","<OD> signo de objeto, objecto directo",,"done",,,,,,,,,,,,,,,,
"sec0123",6,7562,4343,"MN","מִן I",,,,,", , , ",,"prep",,"from, out of",,,"Mitchel_Sec1.B (2199-1000)",,"de, desde, fuera de, porque, debido a (prep); que (comp)","de, desde, fuera de, porque, debido a (prep); que (comp)",,"done",,,,,,,,,,,,,,,,
"sec0114",7,6828,2965,"JHWH/","יְהוָה ",,,,,", , , ",,"nmpr",,"the Lord, Yhwh",,,"Mitchel_Sec1.A (50273-2200)",,"Jehová, El Señor","Jehová, El Señor, YHWH",,"done",,,,,,,,,,,,,,,,
"sec0124",8,5766,5796,"<L","עַל ",,,,,", , , ",,"prep",,"upon, over; on account of; against, opposite to",,,"Mitchel_Sec1.A (50273-2200)",,"en, encima de, contra, sobre (prep); por cuenta de; opuesto a","en, encima de, contra, sobre (prep); por cuenta de; opuesto a",,"done",,,,,,,,,,,,,,,,
"sec0102",9,5517,392,">L","אֶל I",,,,,", , , ",,"prep",,"towards",,,"Mitchel_Sec1.A (50273-2200)",,"a, hacia (prep), hasta","a, hacia (prep), hasta",,"done",,,,,,,,,,,,,,,,
"sec0106",10,5500,797,">CR","אֲשֶׁר ",,,,,", , , ",,"conj",,"that which; the one who(m)",,,"Mitchel_Sec1.A (50273-2200)",,"quien, cual, que","quien, cual, que",,"done",,,,,,,,,,,,,,,,
"sec0119",11,5412,3485,"KL/","כֹּל ",,,,,", , , ",,"subs",,"the whole, all",,,"Mitchel_Sec1.A (50273-2200)",,"todo, toda, todos, todas, cada ","todo, toda, todos, todas, cada ",,"done",,,,,,,,,,,,,,,,
"sec0104",12,5307,548,">MR[","אמר I","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","hif nif qal","say, think",,,"Mitchel_Sec1.A (50273-2200)",,"qal: decir, pensar; ni: ser dicho, ser llamado; hif: declarar;","qal: decir, pensar; ni: ser dicho, ser llamado; hi: declarar;","qal: decir, pensar; qal pass: ; ni: ser dicho, ser llamado; pi: ; pu: ; hit: ; hi: declarar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","decir, pensar","ser dicho, ser llamado",,,,"declarar",,,,,,,,,,
"sec0121",13,5167,3683,"L>","לֹא ",,,,,", , , ",,"nega",,"not",,,"Mitchel_Sec1.A (50273-2200)",,"no (negación)","no (negación)",,"done",,,,,,,,,,,,,,,,
"sec0110",14,4937,1066,"BN/","בֵּן I",,,,,", , , ",,"subs",,"son",,,"Mitchel_Sec1.A (50273-2200)",,"hijo","hijo",,"done",,,,,,,,,,,,,,,,
"sec0118",15,4483,3468,"KJ","כִּי ",,,,,", , , ",,"conj",,"that, for, when; yea",,,"Mitchel_Sec1.A (50273-2200)",,"por, porque, que, cuando, pero; en realidad, verdaderamente; sí","por, porque, que, cuando, pero; en realidad, verdaderamente; sí",,"done",,,,,,,,,,,,,,,,
"sec0112",16,3561,1865,"HJH[","היה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","nif qal","be, become, occur",,,"Mitchel_Sec1.A (50273-2200)",,"qal: ocurrir, ser, llegar a ser, suceder, acontecer; ni: realizarse algo, ocurrir, ser realizado;","qal: ocurrir, ser, llegar a ser, suceder, acontecer; ni: realizarse algo, ocurrir, ser realizado;","qal: ocurrir, ser, llegar a ser, suceder, acontecer; qal pass: ; ni: realizarse algo, ocurrir, ser realizado; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","ocurrir, ser, llegar a ser, suceder, acontecer","realizarse algo, ocurrir, ser realizado",,,,,,,,,,,,,,
"sec0117",17,2902,3395,"K","כְּ ",,,,,", , , ",,"prep",,"like, according to, even as, about, as soon as",,,"Mitchel_Sec1.A (50273-2200)",,"como, igual que (prep) , según, tan pronto como","como, igual que (prep) , según, tan pronto como",,"done",,,,,,,,,,,,,,,,
"sec0125",18,2629,6092,"<FH[","עשׂה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","nif piel pual qal","make, do; fix; deal with",,,"Mitchel_Sec1.A (50273-2200)",,"qal: hacer, producir, ejecutar; crear construir, transformar; ni: ser hecho, hecho; pi: presionar, exprimir; pu: ser hecho;","qal: hacer, producir, ejecutar; crear construir, transformar, manufacturar, ; ni: ser hecho, hecho; pi: presionar, exprimir; pu: ser hecho;","qal: hacer, producir, ejecutar; crear construir, transformar, manufacturar, ; qal pass: ; ni: ser hecho, hecho; pi: presionar, exprimir; pu: ser hecho; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","hacer, producir, ejecutar; crear construir, transformar, manufacturar, ","ser hecho, hecho","presionar, exprimir","ser hecho",,,,,,,,,,,,
"sec0103",19,2601,412,">LHJM/","אֱלֹהִים ",,,,,", , , ",,"subs",,"god; gods; God",,,"Mitchel_Sec1.A (50273-2200)",,"Dios","Dios, dioses",,"done",,,,,,,,,,,,,,,,
"sec0109",20,2570,889,"BW>[","בוא ",,"ii-waw","iii-aleph",,", ii-waw, iii-aleph, ","ii-waw, iii-aleph","verb","hif hof qal","enter; come, arrive",,,"Mitchel_Sec1.A (50273-2200)",,"qal: pasar, venir, entrar; hif: traer; dejar entrar; hof: ser traído, ser traido;","qal: pasar, venir, entrar, venir a, entrar, traer, guiar hacia, reunir en; hi: traer; dejar entrar; ho: ser traído, ser traido;","qal: pasar, venir, entrar, venir a, entrar, traer, guiar hacia, reunir en; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: traer; dejar entrar; ho: ser traído, ser traido; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","pasar, venir, entrar, venir a, entrar, traer, guiar hacia, reunir en",,,,,"traer; dejar entrar","ser traído, ser traido",,,,,,,,,
"sec0122",21,2523,4289,"MLK/","מֶלֶךְ I",,,,,", , , ",,"subs",,"king",,,"Mitchel_Sec1.A (50273-2200)",,"rey","rey",,"done",,,,,,,,,,,,,,,,
"sec0116",22,2506,3368,"JFR>L/","יִשְׂרָאֵל ",,,,,", , , ",,"nmpr",,"Israel",,,"Mitchel_Sec1.A (50273-2200)",,"Israel","Israel",,"done",,,,,,,,,,,,,,,,
"sec0105",23,2504,741,">RY/","אֶרֶץ ",,,,,", , , ",,"subs",,"land; territory, country; the earth",,,"Mitchel_Sec1.A (50273-2200)",,"Tierra; tierra, territorio","Tierra; tierra, territorio",,"done",,,,,,,,,,,,,,,,
"sec0115",24,2304,3010,"JWM/","יֹום ",,,,,", , , ",,"subs",,"day; that day",,,"Mitchel_Sec1.A (50273-2200)",,"día","día",,"done",,,,,,,,,,,,,,,,
"sec0101",25,2186,365,">JC/","אִישׁ ",,,,,", , , ",,"subs",,"man; human being; somebody; each one",,,"Mitchel_Sec1.B (2199-1000)",,"hombre; ser humano; alguien; cada uno","hombre; ser humano; alguien; cada uno",,"done",,,,,,,,,,,,,,,,
"sec0222",26,2127,6317,"PNH/","פָּנֶה I",,,,,", , , ",,"subs",,"face; surface; front",,,"Mitchel_Sec1.B (2199-1000)",,"cara; superficie; frente","cara; superficie; frente",,"done",,,,,,,,,,,,,,,,
"sec0204",27,2063,957,"BJT/","בַּיִת ",,,,,", , , ",,"subs",,"house; family; interior",,,"Mitchel_Sec1.B (2199-1000)",,"casa; familia","casa; familia; hogar",,"done",,,,,,,,,,,,,,,,
"sec0217",28,2010,5271,"NTN[","נתן ","i-nun",,,,"i-nun, , , ","i-nun","verb","hof nif qal","give, put, set",,,"Mitchel_Sec1.B (2199-1000)",,"qal: dar, poner; ni: ser dado, poner; hof: ser dado, poner sobre;","qal: dar, poner, establecer, permitir, dejar en herencia; ni: ser dado, poner; ho: ser dado, poner sobre;","qal: dar, poner, establecer, permitir, dejar en herencia; qal pass: ; ni: ser dado, poner; pi: ; pu: ; hit: ; hi: ; ho: ser dado, poner sobre; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","dar, poner, establecer, permitir, dejar en herencia","ser dado, poner",,,,,"ser dado, poner sobre",,,,,,,,,
"sec0221",29,1866,5840,"<M/","עַם ",,,,,", , , ",,"subs",,"people; kinship; relative",,,"Mitchel_Sec1.B (2199-1000)",,"pueblo; parentesco; pariente","pueblo; parentesco; pariente",,"done",,,,,,,,,,,,,,,,
"sec0212",30,1618,2928,"JD/","יָד ",,,,,", , , ",,"subs",,"hand, side, place, power, monument",,,"Mitchel_Sec1.B (2199-1000)",,"mano, poder, monumento","mano, poder, monumento",,"done",,,,,,,,,,,,,,,,
"sec0209",31,1547,1880,"HLK[","הלך ","i-waw",,,,"i-waw, , , ","i-waw","verb","hif hit nif piel qal","go, walk",,,"Mitchel_Sec1.B (2199-1000)",,"qal: ir, caminar; ni: haberse ido, irse, desvanecerse; pi: ir, caminar; hit: ir, caminar, andar; hif: guiar, hacer ir, dirigir, traer;","qal: ir, caminar, liderar; ni: haberse ido, irse, desvanecerse; pi: ir, caminar; hit: ir, caminar, andar; hi: guiar, hacer ir, dirigir, traer;","qal: ir, caminar, liderar; qal pass: ; ni: haberse ido, irse, desvanecerse; pi: ir, caminar; pu: ; hit: ir, caminar, andar; hi: guiar, hacer ir, dirigir, traer; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","ir, caminar, liderar","haberse ido, irse, desvanecerse","ir, caminar",,"ir, caminar, andar","guiar, hacer ir, dirigir, traer",,,,,,,,,,
"sec0206",32,1441,1616,"DBR/","דָּבָר I",,,,,", , , ",,"subs",,"word, deed, thing",,,"Mitchel_Sec1.B (2199-1000)",,"palabra; cosa, asunto; hecho","palabra; cosa, asunto; hecho",,"done",,,,,,,,,,,,,,,,
"sec0208",33,1394,1835,"HW>","הוּא ",,,,,", , , ",,"prps",,"he",,,"Mitchel_Sec1.B (2199-1000)",,"él","él",,"done",,,,,,,,,,,,,,,,
"sec0223",34,1298,7100,"R>H[","ראה ","i-guttural","ii-guttural","iii-hey",,"i-guttural, ii-guttural, iii-hey, ","i-guttural, ii-guttural, iii-hey","verb","hif hit hof nif pual qal","see; get to know; look at; choose",,,"Mitchel_Sec1.B (2199-1000)",,"qal: ver; llegar a saber; mirar; escoger; ni: ser visto, ser visible; pu: ser visto; hit: mirarse el uno al otro; encontrarse en combate; hif: mostrar; hof: ser hecho visible; ser mostrado;","qal: ver; llegar a saber; mirar; escoger, revelar, entender, inspeccionar, mostrar; ni: ser visto, ser visible; pu: ser visto; hit: mirarse el uno al otro; encontrarse en combate; hi: mostrar; ho: ser hecho visible; ser mostrado;","qal: ver; llegar a saber; mirar; escoger, revelar, entender, inspeccionar, mostrar; qal pass: ; ni: ser visto, ser visible; pi: ; pu: ser visto; hit: mirarse el uno al otro; encontrarse en combate; hi: mostrar; ho: ser hecho visible; ser mostrado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","ver; llegar a saber; mirar; escoger, revelar, entender, inspeccionar, mostrar","ser visto, ser visible",,"ser visto","mirarse el uno al otro; encontrarse en combate","mostrar","ser hecho visible; ser mostrado",,,,,,,,,
"sec0218",35,1263,5568,"<D","עַד ",,,,,", , , ",,"prep",,"as far as, until; while",,,"Mitchel_Sec1.B (2199-1000)",,"a, hacia (prep), hasta, en cuanto as (espacio); hasta que, mientras, mientras que (tiempo)","a, hacia (prep), hasta, en cuanto as (espacio); hasta que, mientras, mientras que (tiempo)",,"done",,,,,,,,,,,,,,,,
"sec0201",36,1217,1,">B/","אָב I",,,,,", , , ",,"subs",,"father",,,"Mitchel_Sec1.B (2199-1000)",,"padre","padre",,"done",,,,,,,,,,,,,,,,
"sec0211",37,1177,1990,"ZH","זֶה I",,,,,", , , ",,"prde",,"this",,,"Mitchel_Sec1.B (2199-1000)",,"este, esto","este, esto",,"done",,,,,,,,,,,,,,,,
"sec0225",38,1159,7956,"CM<[","שׁמע ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif piel qal","hear, listen to",,,"Mitchel_Sec1.B (2199-1000)",,"qal: oír, dar oído a, obedecer; ni: ser oído; pi: convocar; hif: hacer escuchar; convocar;","qal: oír, dar oído a, obedecer, escuchar; ni: ser oído; pi: convocar; hi: hacer escuchar; convocar;","qal: oír, dar oído a, obedecer, escuchar; qal pass: ; ni: ser oído; pi: convocar; pu: ; hit: ; hi: hacer escuchar; convocar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","oír, dar oído a, obedecer, escuchar","ser oído","convocar",,,"hacer escuchar; convocar",,,,,,,,,,
"sec0205",39,1138,1622,"DBR[","דבר I",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit nif piel pual qal","speak",,,"Mitchel_Sec1.B (2199-1000)",,"qal: hablar; ni: hablar; pi: hablar; pu: ser hablado; hit: hablarse, hablar con;","qal: hablar; ni: hablar; pi: hablar; pu: ser hablado; hit: hablarse, hablar con;","qal: hablar; qal pass: ; ni: hablar; pi: hablar; pu: ser hablado; hit: hablarse, hablar con; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","hablar","hablar","hablar","ser hablado","hablarse, hablar con",,,,,,,,,,,
"sec0219",40,1090,5767,"<JR/","עִיר I",,,,,", , , ",,"subs",,"town; quarter of a town",,,"Mitchel_Sec1.B (2199-1000)",,"ciudad","ciudad",,"done",,,,,,,,,,,,,,,,
"sec0215",41,1082,3314,"JCB[","ישׁב ","i-waw",,,,"i-waw, , , ","i-waw","verb","hif hof nif piel qal","sit, sit down, dwell, be inhabited",,,"Mitchel_Sec1.B (2199-1000)",,"qal: sentarse, habitar, morar; ni: ser habitado; pi: instalar, establecer; hif: hacer sentarse, hacer morar, causa para sentar, causar para quedar; casar; hof: ser habitado, ser hecho para morar;","qal: sentarse, habitar, morar, establecerse; ni: ser habitado; pi: instalar, establecer; hi: hacer sentarse, hacer morar, causa para sentar, causar para quedar; casar; ho: ser habitado, ser hecho para morar;","qal: sentarse, habitar, morar, establecerse; qal pass: ; ni: ser habitado; pi: instalar, establecer; pu: ; hit: ; hi: hacer sentarse, hacer morar, causa para sentar, causar para quedar; casar; ho: ser habitado, ser hecho para morar; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","sentarse, habitar, morar, establecerse","ser habitado","instalar, establecer",,,"hacer sentarse, hacer morar, causa para sentar, causar para quedar; casar","ser habitado, ser hecho para morar",,,,,,,,,
"sec0207",42,1075,1653,"DWD==/","דָּוִד III",,,,,", , , ",,"nmpr",,"David",,,"Mitchel_Sec1.B (2199-1000)",,"David","David",,"done",,,,,,,,,,,,,,,,
"sec0203",43,1068,502,">M","אִם ",,,,,", , , ",,"conj",,"if; when",,,"Mitchel_Sec1.B (2199-1000)",,"si; entonces; cuando","si; entonces; cuando",,"done",,,,,,,,,,,,,,,,
"sec0214",44,1068,3209,"JY>[","יצא ","i-waw",,"iii-aleph",,"i-waw, , iii-aleph, ","i-waw, iii-aleph","verb","hif hof qal","go out, go forth",,,"Mitchel_Sec1.B (2199-1000)",,"qal: salir; hif: traer; hof: ser presentado;","qal: salir, venir, ir, proceder, venir adelante, guiar; hi: traer; ho: ser presentado;","qal: salir, venir, ir, proceder, venir adelante, guiar; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: traer; ho: ser presentado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","salir, venir, ir, proceder, venir adelante, guiar",,,,,"traer","ser presentado",,,,,,,,,
"sec0210",45,1060,1904,"HNH","הִנֵּה I",,,,,", , , ",,"intj",,"behold",,,"Mitchel_Sec1.B (2199-1000)",,"¡he aquí! ¡mira! ¡escucha! (intj)","¡he aquí!, ¡mira!, ¡escucha!, hey (intj)",,"done",,,,,,,,,,,,,,,,
"sec0220",46,1049,5839,"<M","עִם ",,,,,", , , ",,"prep",,"(together) with; just as",,,"Mitchel_Sec1.B (2199-1000)",,"con; (junto) con; así como, tal como","con; (junto) con; así como, tal como",,"done",,,,,,,,,,,,,,,,
"sec0224",47,1037,7606,"CWB[","שׁוב I",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif hof piel qal","return; do again",,,"Mitchel_Sec1.B (2199-1000)",,"qal: retornar, volver, repetir; pi: traer de vuelta; seducir; restaurar; hif: traer otra vez, traer de vuelta; hof: ser traido de vuelta;","qal: retornar, volver, repetir, girar hacia atrás; pi: traer de vuelta; seducir; restaurar; hi: traer otra vez, traer de vuelta; ho: ser traido de vuelta;","qal: retornar, volver, repetir, girar hacia atrás; qal pass: ; ni: ; pi: traer de vuelta; seducir; restaurar; pu: ; hit: ; hi: traer otra vez, traer de vuelta; ho: ser traido de vuelta; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","retornar, volver, repetir, girar hacia atrás",,"traer de vuelta; seducir; restaurar",,,"traer otra vez, traer de vuelta","ser traido de vuelta",,,,,,,,,
"sec0202",48,970,249,">XD/","אֶחָד ",,,,,", , , ",,"subs",,"one, once",,,"Mitchel_Sec1.C (999-730)",,"uno, una vez","uno, una vez",,"done",,,,,,,,,,,,,,,,
"sec0216",49,965,3833,"LQX[","לקח ","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","hit hof nif pasq pual qal","take, grasp, seize",,,"Mitchel_Sec1.C (999-730)",,"qal: tomar, agarrar, incautar; qal pass: tomar, agarrar, asir; ni: ser llevado, ser tomado; pu: ser traído, ser tomado, ser traido; hit: ser llevado de aquí para allá, ser llevado de aqui para alla; hof: ser quitado;","qal: tomar, agarrar, incautar; qal pass: tomar, agarrar, asir; ni: ser llevado, ser tomado; pu: ser traído, ser tomado, ser traido; hit: ser llevado de aquí para allá, ser llevado de aqui para alla; ho: ser quitado;","qal: tomar, agarrar, incautar; qal pass: tomar, agarrar, asir; ni: ser llevado, ser tomado; pi: ; pu: ser traído, ser tomado, ser traido; hit: ser llevado de aquí para allá, ser llevado de aqui para alla; hi: ; ho: ser quitado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","tomar, agarrar, incautar","ser llevado, ser tomado",,"ser traído, ser tomado, ser traido","ser llevado de aquí para allá, ser llevado de aqui para alla",,"ser quitado",,"tomar, agarrar, asir",,,,,,,
"sec0213",50,944,2949,"JD<[","ידע ","i-waw",,"iii-guttural",,"i-waw, , iii-guttural, ","i-waw, iii-guttural","verb","hif hit hof nif piel pual qal","know, learn, observe",,,"Mitchel_Sec1.C (999-730)",,"qal: conocer; notar, aprender; ni: darse a conocer; ser, llegar a ser conocido, hacerse conocido; pi: hacer que se sepa, se conozca, conocer; pu: conocido, ser conocido; hit: darse a conocer, hacerse conocido; hif: hacer que se sepa, hacer saber, causar conocer; hof: ser hecho conocido; poel: dejar saber, informar","qal: conocer; notar, aprender, noticia, escuchar de, hacerse conocido; ni: darse a conocer; ser, llegar a ser conocido, hacerse conocido; pi: hacer que se sepa, se conozca, conocer; pu: conocido, ser conocido; hit: darse a conocer, hacerse conocido; hi: hacer que se sepa, hacer saber, causar conocer, dar a conocer; ho: ser hecho conocido; poa: dejar saber, informar;","qal: conocer; notar, aprender, noticia, escuchar de, hacerse conocido; qal pass: ; ni: darse a conocer; ser, llegar a ser conocido, hacerse conocido; pi: hacer que se sepa, se conozca, conocer; pu: conocido, ser conocido; hit: darse a conocer, hacerse conocido; hi: hacer que se sepa, hacer saber, causar conocer, dar a conocer; ho: ser hecho conocido; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: dejar saber, informar; poe: ;","Q=1","conocer; notar, aprender, noticia, escuchar de, hacerse conocido","darse a conocer; ser, llegar a ser conocido, hacerse conocido","hacer que se sepa, se conozca, conocer","conocido, ser conocido","darse a conocer, hacerse conocido","hacer que se sepa, hacer saber, causar conocer, dar a conocer","ser hecho conocido",,,,,,,,"dejar saber, informar",
"sec0319",51,890,5803,"<LH[","עלה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","hif hit hof nif qal","go up; go away from; go up against; seize upon",,,"Mitchel_Sec1.C (999-730)",,"qal: subir; ni: ser levantado, ser exaltado; retirar; ser informado; hit: incorporarse, levantarse, enaltecerse; hif: traer, hacer subir; hof: ser sacrificado, ser llevado; ser incluido;","qal: subir, ascender, guiar hacia; ni: ser levantado, ser exaltado; retirar; ser informado; hit: incorporarse, levantarse, enaltecerse; hi: traer, hacer subir; ho: ser sacrificado, ser llevado; ser incluido, haber sido sacrificado, haber sido levado;","qal: subir, ascender, guiar hacia; qal pass: ; ni: ser levantado, ser exaltado; retirar; ser informado; pi: ; pu: ; hit: incorporarse, levantarse, enaltecerse; hi: traer, hacer subir; ho: ser sacrificado, ser llevado; ser incluido, haber sido sacrificado, haber sido levado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","subir, ascender, guiar hacia","ser levantado, ser exaltado; retirar; ser informado",,,"incorporarse, levantarse, enaltecerse","traer, hacer subir","ser sacrificado, ser llevado; ser incluido, haber sido sacrificado, haber sido levado",,,,,,,,,
"sec0318",52,887,5742,"<JN/","עַיִן I",,,,,", , , ",,"subs",,"eye; look; spring",,,"Mitchel_Sec1.C (999-730)",,"ojo, fuente","ojo, fuente",,"done",,,,,,,,,,,,,,,,
"sec0324",53,876,8002,"CNH/","שָׁנָה I",,,,,", , , ",,"subs",,"year",,,"Mitchel_Sec1.C (999-730)",,"año","año",,"done",,,,,,,,,,,,,,,,
"sec0306",54,874,572,">NJ","אֲנִי ",,,,,", , , ",,"prps",,"I",,,"Mitchel_Sec1.B (2199-1000)",,"yo","yo",,"done",,,,,,,,,,,,,,,,
"sec0322",55,864,7902,"CM/","שֵׁם I",,,,,", , , ",,"subs",,"name",,,"Mitchel_Sec1.C (999-730)",,"nombre","nombre, reputación",,"done",,,,,,,,,,,,,,,,
"sec0308",56,849,817,">T==","אֵת III",,,,,", , , ",,"prep",,"together with",,,"Mitchel_Sec1.C (999-730)",,"con, además (prep)","con, además (prep)",,"done",,,,,,,,,,,,,,,,
"sec0321",57,847,7842,"CLX[","שׁלח ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif piel pual qal","let loose; stretch out; send",,,"Mitchel_Sec1.C (999-730)",,"qal: enviar; ni: ser enviado; pi: dejar ir; extender; enviar; pu: dejar soltarse, ser soltado, enviado, olvidado; hif: soltar en sentido de desencadenar, soltar;","qal: enviar; ni: ser enviado; pi: dejar ir; extender; enviar; pu: dejar soltarse, ser soltado, enviado, olvidado; hi: soltar en sentido de desencadenar, soltar;","qal: enviar; qal pass: ; ni: ser enviado; pi: dejar ir; extender; enviar; pu: dejar soltarse, ser soltado, enviado, olvidado; hit: ; hi: soltar en sentido de desencadenar, soltar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","enviar","ser enviado","dejar ir; extender; enviar","dejar soltarse, ser soltado, enviado, olvidado",,"soltar en sentido de desencadenar, soltar",,,,,,,,,,
"sec0314",58,835,4056,"MWT[","מות ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif hof piel qal","die",,,"Mitchel_Sec1.C (999-730)",,"qal: morir; pi: matar; hif: matar, dar muerte; hof: ser asesinado, dar muerte, ser puesto a muerte;","qal: morir; pi: matar; hi: matar, dar muerte; ho: ser asesinado, dar muerte, ser puesto a muerte, ser muerto, ser asesinado;","qal: morir; qal pass: ; ni: ; pi: matar; pu: ; hit: ; hi: matar, dar muerte; ho: ser asesinado, dar muerte, ser puesto a muerte, ser muerto, ser asesinado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","morir",,"matar",,,"matar, dar muerte","ser asesinado, dar muerte, ser puesto a muerte, ser muerto, ser asesinado",,,,,,,,,
"sec0323",59,834,7901,"CM","שָׁם ",,,,,", , , ",,"advb",,"there, then",,,"Mitchel_Sec1.C (999-730)",,"ahí, allí","ahí, allí",,"done",,,,,,,,,,,,,,,,
"sec0312",60,819,2961,"JHWDH/","יְהוּדָה ",,,,,", , , ",,"nmpr",,"Judah",,,"Mitchel_Sec1.C (999-730)",,"Judá","Judá",,"done",,,,,,,,,,,,,,,,
"sec0303",61,810,385,">KL[","אכל ","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","hif nif pasq pual qal","eat",,,"Mitchel_Sec1.C (999-730)",,"qal: comer, devorar; qal pass: comer; ni: ser comido; pu: ser consumido; hif: alimentar;","qal: comer, devorar; qal pass: comer; ni: ser comido; pu: ser consumido; hi: alimentar;","qal: comer, devorar; qal pass: comer; ni: ser comido; pi: ; pu: ser consumido; hit: ; hi: alimentar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","comer, devorar","ser comido",,"ser consumido",,"alimentar",,,"comer",,,,,,,
"sec0317",62,800,5510,"<BD/","עֶבֶד I",,,,,", , , ",,"subs",,"slave, servant",,,"Mitchel_Sec1.C (999-730)",,"esclavo, siervo","esclavo, siervo",,"done",,,,,,,,,,,,,,,,
"sec0302",63,788,359,">JN/","אַיִן ",,,,,", , , ",,"subs",,"non-existence; there is not",,,"Mitchel_Sec1.C (999-730)",,"no existe, no hay","no existe, no hay",,"done",,,,,,,,,,,,,,,,
