"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
,1208,27,6475,"PTH[","פתה I",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","nif piel pual qal","be simple, inexperienced",,,"Mitchel_Sec5.L (28-27)",,"pi: engañar; persuadir; pu: ser persuadido; qal: ser inexperto, ser ingenuo; ni: ser engañado, seducido;","pi: engañar; persuadir; qal: ser inexperto, ser ingenuo; ni: ser engañado, seducido; pi: engañar; persuadir; pu: ser persuadido;","pi: engañar; persuadir; qal: ser inexperto, ser ingenuo; qal pass: ; ni: ser engañado, seducido; pi: engañar; persuadir; pu: ser persuadido; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","P=3","ser inexperto, ser ingenuo","ser engañado, seducido","engañar; persuadir","ser persuadido",,,,,,,,,,,,
,1209,27,7031,"QRH[","קרה ",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","hif nif piel qal","meet, befall",,,"Mitchel_Sec5.L (28-27)",,"qal: pasar, ocurrir; ni: encontrar; oportunidad de estar presente; pi: construir; hif: causar que ocurra; seleccionar;","qal: pasar, ocurrir; ni: encontrar; oportunidad de estar presente; pi: construir; hi: causar que ocurra; seleccionar;","qal: pasar, ocurrir; qal pass: ; ni: encontrar; oportunidad de estar presente; pi: construir; pu: ; hit: ; hi: causar que ocurra; seleccionar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","pasar, ocurrir","encontrar; oportunidad de estar presente","construir",,,"causar que ocurra; seleccionar",,,,,,,,,,
,1210,27,8377,"TLH[","תלה ",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","nif piel qal","hang",,,"Mitchel_Sec5.L (28-27)",,"qal: colgar; ni: ser colgado; pi: colgar;","qal: colgar; ni: ser colgado; pi: colgar;","qal: colgar; qal pass: ; ni: ser colgado; pi: colgar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","colgar","ser colgado","colgar",,,,,,,,,,,,,
,1211,27,2344,"XKM[","חכם ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif hit piel pual qal","be wise, become wise, act wisely",,,"Mitchel_Sec5.L (28-27)",,"qal: volverse prudente, ser prudente, actuar sabiamente; pi: hacer sabio, enseñar sabiduria; pu: hecho sabio; hit: mostrarse sabio, tratar sabiamente; hif: hacer sabio;","qal: volverse prudente, ser prudente, actuar sabiamente; pi: hacer sabio, enseñar sabiduria; pu: hecho sabio; hit: mostrarse sabio, tratar sabiamente; hi: hacer sabio;","qal: volverse prudente, ser prudente, actuar sabiamente; qal pass: ; ni: ; pi: hacer sabio, enseñar sabiduria; pu: hecho sabio; hit: mostrarse sabio, tratar sabiamente; hi: hacer sabio; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","volverse prudente, ser prudente, actuar sabiamente",,"hacer sabio, enseñar sabiduria","hecho sabio","mostrarse sabio, tratar sabiamente","hacer sabio",,,,,,,,,,
,1212,27,2449,"XMM[","חמם ","i-guttural",,,"geminate","i-guttural, , , geminate","i-guttural, geminate","verb","hit nif piel qal","be, become warm",,,"Mitchel_Sec5.K (30-29)",,"qal: tener poco calor, calentarse, tener calor, estar tibio, estar caliente; ni: estar inflamado; pi: mantener tibio, mantener caliente; hit: calentarse;","qal: tener poco calor, calentarse, tener calor, estar tibio, estar caliente; ni: estar inflamado; pi: mantener tibio, mantener caliente; hit: calentarse;","qal: tener poco calor, calentarse, tener calor, estar tibio, estar caliente; qal pass: ; ni: estar inflamado; pi: mantener tibio, mantener caliente; pu: ; hit: calentarse; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","tener poco calor, calentarse, tener calor, estar tibio, estar caliente","estar inflamado","mantener tibio, mantener caliente",,"calentarse",,,,,,,,,,,
,1213,27,2608,"XQR[","חקר ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","nif piel qal","search out, search",,,"Mitchel_Sec5.L (28-27)",,"qal: espiar, investigar; ni: ser registrado, ser buscado, ser averiguado; pi: registrar, buscar;","qal: espiar, investigar; ni: ser registrado, ser buscado, ser averiguado; pi: registrar, buscar;","qal: espiar, investigar; qal pass: ; ni: ser registrado, ser buscado, ser averiguado; pi: registrar, buscar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","espiar, investigar","ser registrado, ser buscado, ser averiguado","registrar, buscar",,,,,,,,,,,,,
,1214,27,2702,"XRC=[","חרשׁ II",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","hif nif qal","plough; engrave; devise",,,"Mitchel_Sec5.M (26-25)",,"qal: arar; grabar; trazar; ni: ser arado; hif: trazar ;","qal: arar; grabar; trazar; ni: ser arado; hi: trazar ;","qal: arar; grabar; trazar; qal pass: ; ni: ser arado; pi: ; pu: ; hit: ; hi: trazar ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","arar; grabar; trazar","ser arado",,,,"trazar ",,,,,,,,,,
,1215,26,5650,"<WR/","עִוֵּר I",,,,,", , , ",,"adjv",,"blind",,,"Mitchel_Sec5.M (26-25)",,"ciego","ciego",,"done",,,,,,,,,,,,,,,,
,1216,26,5701,"<ZRH/","עֶזְרָה I",,,,,", , , ",,"subs",,"help, helper",,,"Mitchel_Sec5.B (47-46)",,"apoyo, ayuda, ayudante(s)","apoyo, ayuda, ayudante(s)",,"done",,,,,,,,,,,,,,,,
,1217,26,184,">WJL/","אֱוִיל ",,,,,", , , ",,"adjv",,"foolish; fool",,,"Mitchel_Sec5.M (26-25)",,"necio, insensato (adj.), tonto, simplón (sust)","necio, insensato (adj.), tonto, simplón (sust)",,"done",,,,,,,,,,,,,,,,
,1218,26,1201,"BRWK/","בָּרוּךְ ",,,,,", , , ",,"nmpr",,"Baruch",,,"Mitchel_Sec5.M (26-25)",,"Baruc","Baruc",,"done",,,,,,,,,,,,,,,,
,1219,26,7487,"C>R=/","שְׁאָר II",,,,,", , , ",,"subs",,"rest",,,"Mitchel_Sec5.M (26-25)",,"remanente, resto","remanente, resto",,"done",,,,,,,,,,,,,,,,
,1220,26,1363,"GDLJHW/","גְּדַלְיָהוּ ",,,,,", , , ",,"nmpr",,"Gedaliah",,,"Mitchel_Sec5.M (26-25)",,"Gedalías","Gedalías",,"done",,,,,,,,,,,,,,,,
,1221,26,1853,"HWN/","הֹון ",,,,,", , , ",,"subs",,"wealth, property; enough",,,"Mitchel_Sec5.M (26-25)",,"riqueza, propiedad; suficiente, bastante","riqueza, propiedad; suficiente, bastante",,"done",,,,,,,,,,,,,,,,
,1222,26,2925,"JG<[","יגע ","i-waw",,"iii-guttural",,"i-waw, , iii-guttural, ","i-waw, iii-guttural","verb","hif piel qal","be weary, toil",,,"Mitchel_Sec5.M (26-25)",,"qal: cansarse; pi: cansar, molestar; hif: cansarse, cansar;","qal: cansarse; pi: cansar, molestar; hi: cansarse, cansar;","qal: cansarse; qal pass: ; ni: ; pi: cansar, molestar; pu: ; hit: ; hi: cansarse, cansar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","cansarse",,"cansar, molestar",,,"cansarse, cansar",,,,,,,,,,
,1223,26,3531,"KN/","כֵּן I",,,,,", , , ",,"adjv",,"upright, true, correct",,,"Mitchel_Sec1.D (729-500)",,"correctamente, derecho, íntegro","correctamente, derecho, íntegro",,"done",,,,,,,,,,,,,,,,
,1224,26,3924,"MGPH/","מַגֵּפָה ",,,,,", , , ",,"subs",,"blow, defeat, plague",,,"Mitchel_Sec5.M (26-25)",,"plaga, tormento, derrota, golpe","plaga, tormento, derrota, golpe",,"done",,,,,,,,,,,,,,,,
,1225,26,5261,"NCR/","נֶשֶׁר ",,,,,", , , ",,"subs",,"eagle, vulture",,,"Mitchel_Sec5.M (26-25)",,"águila, buitre","águila, buitre",,"done",,,,,,,,,,,,,,,,
,1226,26,4945,"NDBH/","נְדָבָה ",,,,,", , , ",,"subs",,"free will, free-will-offering",,,"Mitchel_Sec5.L (28-27)",,"libre albedrío; regalo voluntario","libre albedrío; regalo voluntario",,"done",,,,,,,,,,,,,,,,
,1227,26,6387,"PRD[","פרד ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","hif hit nif piel pual qal","spread out",,,"Mitchel_Sec5.M (26-25)",,"ni: dividir, separar; qal: extendido; pi: ir a un lado; pu: ser separado; hit: separar el uno del otro; ser dispersado;","ni: dividir, separar; qal: extendido; pi: ir a un lado; pu: ser separado; hit: separar el uno del otro; ser dispersado; hi: separar;","ni: dividir, separar; qal: extendido; qal pass: ; pi: ir a un lado; pu: ser separado; hit: separar el uno del otro; ser dispersado; hi: separar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","N=2","extendido","dividir, separar","ir a un lado","ser separado","separar el uno del otro; ser dispersado","separar",,,,,,,,,,
,1228,26,6391,"PRH/","פָּרָה I",,,,,", , , ",,"subs",,"cow",,,"Mitchel_Sec3.C (159-144)",,"vaca","vaca",,"done",,,,,,,,,,,,,,,,
,1229,26,6818,"QDM[","קדם ",,,,"regular",", , , regular","regular","verb","hif piel","go in front; meet; do early, for the first time",,,"Mitchel_Sec5.M (26-25)",,"pi: estar delante, caminar al frente; hif: <incierto>;","pi: estar delante, caminar al frente; pi: estar delante, caminar al frente; hi: <incierto>;","pi: estar delante, caminar al frente; qal: ; qal pass: ; ni: ; pi: estar delante, caminar al frente; pu: ; hit: ; hi: <incierto>; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","P=3",,,"estar delante, caminar al frente",,,"<incierto>",,,,,,,,,,
