"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,4636,2,25,">BJHW/","אֲבִיָּהוּ ",,,,,", , , ",,"nmpr",,"Abijah",,,,,"Abijah","Abijah",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2022,12,26,">BJHW>/","אֲבִיהוּא ",,,,,", , , ",,"nmpr",,"Abihu",,,"Mitchel_Sec5.Z (12)",,"Abihu","Abihu",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5922,1,27,">BJHWD/","אֲבִיהוּד ",,,,,", , , ",,"nmpr",,"Abihud",,,,,"Abihud","Abihud",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4635,2,28,">BJHJL/","אֲבִיהַיִל ",,,,,", , , ",,"nmpr",,"Abihail",,,,,"Abihail","Abihail",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,614,61,29,">BJWN/","אֶבְיֹון ",,,,,", , , ",,"adjv",,"poor",,,"Mitchel_Sec4.H (62-58)",,"poor, oppressed","poor, oppressed",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5924,1,30,">BJWNH/","אֲבִיֹּונָה ",,,,,", , , ",,"subs",,"caper-fruit",,,,,"caper-fruit","caper-fruit",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3514,4,31,">BJXJL/","אֲבִיחַיִל ",,,,,", , , ",,"nmpr",,"Abihail",,,,,"Abihail","Abihail",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5923,1,32,">BJVWB/","אֲבִיטוּב ",,,,,", , , ",,"nmpr",,"Abitub",,,,,"Abitub","Abitub",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4638,2,33,">BJVL/","אֲבִיטָל ",,,,,", , , ",,"nmpr",,"Abital",,,,,"Abital","Abital",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3162,5,34,">BJM/","אֲבִיָּם ",,,,,", , , ",,"nmpr",,"Abijah",,,,,"Abijah","Abijah",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4637,2,35,">BJM>L/","אֲבִימָאֵל ",,,,,", , , ",,"nmpr",,"Abimael",,,,,"Abimael","Abimael",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,576,67,36,">BJMLK/","אֲבִימֶלֶךְ ",,,,,", , , ",,"nmpr",,"Abimelech",,,"Mitchel_Sec4.F (70-66)",,"Abimelech","Abimelech",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1922,13,37,">BJNDB/","אֲבִינָדָב ",,,,,", , , ",,"nmpr",,"Abinadab",,,"Mitchel_Sec5.Y (13)",,"Abinadab","Abinadab",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3513,4,38,">BJN<M/","אֲבִינֹעַם ",,,,,", , , ",,"nmpr",,"Abinoam",,,,,"Abinoam","Abinoam",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3970,3,39,">BJSP/","אֶבְיָסָף ",,,,,", , , ",,"nmpr",,"Ebiasaph",,,,,"Ebiasaph","Ebiasaph",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2681,7,40,">BJ<ZR/","אֲבִיעֶזֶר ",,,,,", , , ",,"nmpr",,"Abiezer",,,,,"Abiezer","Abiezer",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1690,16,41,">BJR/","אַבִּיר I",,,,,", , , ",,"adjv",,"strong",,,"Mitchel_Sec5.O (23)",,"strong, powerful","strong, powerful",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2893,6,42,">BJR=/","אָבִיר II",,,,,", , , ",,"adjv",,"strong",,,,,"strong","strong",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2125,11,43,">BJRM/","אֲבִירָם ",,,,,", , , ",,"nmpr",,"Abiram",,,"Mitchel_Sec5.AA (11)",,"Abiram","Abiram",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3159,5,44,">BJCG/","אֲבִישַׁג ",,,,,", , , ",,"nmpr",,"Abishag",,,,,"Abishag","Abishag",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
