"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,114,9,172,"DQQ[","דקק",,,,"geminate",", , , geminate","geminate","verb","haf peal","be crushed",,,,,,"peal: be pulverized, be pulverised, be crushed (into small pieces); haf: crush;","peal: be pulverized, be pulverised, be crushed (into small pieces); haf: crush;","Peal=1","be pulverized, be pulverised, be crushed (into small pieces)",,,"crush",,,,,,,,
,115,9,192,"HMW","הִמֹּו",,,,,", , , ",,"prps",,"they",,,,,,"they",,"done",,,,,,,,,,,,
,116,9,252,"XSP/","חֲסַף",,,,,", , , ",,"subs",,"clay",,,,,,"clay",,"done",,,,,,,,,,,,
,117,9,289,"JZB[","יזב","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","shaf","save",,,,,,"peal: save","peal: save; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","save",,,,,,,,,,,
,118,9,336,"KFDJ/","כַּשְׂדָּי",,,,,", , , ",,"adjv",,"Chaldean",,,,,,"Chaldean",,"done",,,,,,,,,,,,
,119,9,425,"NXC/","נְחָשׁ",,,,,", , , ",,"subs",,"copper, bronze",,,,,,"copper, bronze",,"done",,,,,,,,,,,,
,120,9,473,"<DH[","עדה","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","haf peal","go, come; vanish; be taken away",,,,,,"peal: go, come, vanish, be taken away; haf: take away, remove","peal: go, come, vanish, be taken away; pael: ; peil: ; haf: take away, remove; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","go, come, vanish, be taken away",,,"take away, remove",,,,,,,,
,121,9,577,"QRB[","קרב",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","haf pael peal","approach",,,,,,"peal: approach; pael: offer; haf: bring near, offer","peal: approach; pael: offer; peil: ; haf: bring near, offer; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","approach","offer",,"bring near, offer",,,,,,,,
,122,9,578,"QRJH/","קִרְיָה",,,,,", , , ",,"subs",,"city",,,,,,"city",,"done",,,,,,,,,,,,
,123,9,599,"RZ/","רָז",,,,,", , , ",,"subs",,"secret",,,,,,"secret",,"done",,,,,,,,,,,,
,124,9,645,"CM<[","שׁמע",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","htpa peal","hear",,,,,,"peal: hear; hitpa: obey","peal: hear; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: obey; hisht: ; etpa: ; etpe: .","Peal=1","hear",,,,,,,,"obey",,,
,125,8,4,">BN/","אֶבֶן",,,,,", , , ",,"subs",,"stone",,,,,,"stone",,"done",,,,,,,,,,,,
,126,8,37,">MH=/","אֻמָּה",,,,,", , , ",,"subs",,"nation",,,,,,"nation",,"done",,,,,,,,,,,,
,127,8,61,">RB</","אַרְבַּע",,,,,", , , ",,"subs",,"four",,,,,,"four",,"done",,,,,,,,,,,,
,128,8,102,"BLVC>YR/","בֵּלְטְשַׁאצַּר",,,,,", , , ",,"nmpr",,"Belteshazzar",,,,,,"Belteshazzar",,"done",,,,,,,,,,,,
,129,8,113,"BR=/","בַּר II",,,,,", , , ",,"subs",,"field",,,,,,"field",,"done",,,,,,,,,,,,
,130,8,239,"XKMH/","חָכְמָה",,,,,", , , ",,"subs",,"wisdom",,,,,,"wisdom",,"done",,,,,,,,,,,,
,131,8,299,"JQD[","יקד","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","peal","burn",,,,,,"peal: burn","peal: burn; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","burn",,,,,,,,,,,
,132,8,307,"JFR>L/","יִשְׂרָאֵל",,,,,", , , ",,"nmpr",,"Israel",,,,,,"Israel",,"done",,,,,,,,,,,,
,133,8,310,"JTJR/","יַתִּיר",,,,,", , , ",,"adjv",,"extraordinary; exceedingly",,,,,,"extraordinary; exceedingly",,"done",,,,,,,,,,,,
,134,8,315,"KHN/","כָּהֵן",,,,,", , , ",,"subs",,"priest",,,,,,"priest",,"done",,,,,,,,,,,,
,135,8,317,"KWRC/","כֹּורֶשׁ",,,,,", , , ",,"nmpr",,"Cyrus",,,,,,"Cyrus",,"done",,,,,,,,,,,,
,136,8,321,"KN","כֵּן",,,,,", , , ",,"advb",,"thus",,,,,,"thus",,"done",,,,,,,,,,,,
,137,8,338,"KTB[","כתב",,,,"regular",", , , regular","regular","verb","peal","write",,,,,,"peal: write","peal: write; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","write",,,,,,,,,,,
,138,8,354,"M>H/","מְאָה",,,,,", , , ",,"subs",,"hundred",,,,,,"hundred",,"done",,,,,,,,,,,,
,139,8,371,"MV>[","מטא",,,"iii-aleph",,", , iii-aleph, ","iii-aleph","verb","peal","arrive; reach; happen to",,,,,,"peal: arrive, reach, happen to","peal: arrive, reach, happen to; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","arrive, reach, happen to",,,,,,,,,,,
,140,8,459,"SLQ[","סלק",,,,"regular",", , , regular","regular","verb","haf hof peal","go up, come up",,,,,,"peal: go up, come up; haf: bring up; hof: be lifted up","peal: go up, come up; pael: ; peil: ; haf: bring up; hof: be lifted up; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","go up, come up",,,"bring up","be lifted up",,,,,,,
,141,8,590,"RBRBNJN/","רַבְרְבָנִין",,,,,", , , ",,"subs",,"lords",,,,,,"lords",,"done",,,,,,,,,,,,
,142,8,684,"TWB[","תוב",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","haf peal","return",,,,,,"peal: return; haf: return, answer","peal: return; pael: ; peil: ; haf: return, answer; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","return",,,"return, answer",,,,,,,,
,143,7,3,">BD[","אבד","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","haf hof peal","perish",,,,,,"peal: perish; haf: slay, destroy; hof: be destroyed","peal: perish; pael: ; peil: ; haf: slay, destroy; hof: be destroyed; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","perish",,,"slay, destroy","be destroyed",,,,,,,
,144,7,14,">ZL[","אזל","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","peal","go",,,,,,"peal: go","peal: go; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","go",,,,,,,,,,,
,145,7,27,">KL[","אכל","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","peal","eat",,,,,,"peal: eat","peal: eat; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","eat",,,,,,,,,,,
,146,7,52,">SPRN>","אָסְפַּרְנָא",,,,,", , , ",,"advb",,"exactly",,,,,,"exactly, precisely, completely",,"done",,,,,,,,,,,,
,147,7,53,">SR/","אֱסָר",,,,,", , , ",,"subs",,"prohibition",,,,,,"prohibition",,"done",,,,,,,,,,,,
,148,7,103,"BLC>YR/","בֵּלְשַׁאצַּר",,,,,", , , ",,"nmpr",,"Belshazzar",,,,,,"Belshazzar",,"done",,,,,,,,,,,,
,149,7,151,"DWR[","דור",,"ii-waw","iii-guttural",,", ii-waw, iii-guttural, ","ii-waw, iii-guttural","verb","peal","dwell",,,,,,"peal: dwell","peal: dwell; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","dwell",,,,,,,,,,,
,150,7,163,"DK=","דָּךְ",,,,,", , , ",,"prde",,"that",,,,,,"that",,"done",,,,,,,,,,,,
,151,7,188,"HJ>","הִיא",,,,,", , , ",,"prps",,"she",,,,,,"she",,"done",,,,,,,,,,,,
,152,7,191,"HLK[","הלך","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","haf pael peal","go",,,,,,"peal: go; pael: walk about (ptc. only); haf: walk about (ptc. only)","peal: go; pael: walk about (ptc. only); peil: ; haf: walk about (ptc. only); hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","go","walk about (ptc. only)",,"walk about (ptc. only)",,,,,,,,
,153,7,237,"XJL/","חַיִל",,,,,", , , ",,"subs",,"strength; army",,,,,,"strength; army",,"done",,,,,,,,,,,,
,154,7,285,"JHWD/","יְהוּד",,,,,", , , ",,"nmpr",,"Judah",,,,,,"Judah",,"done",,,,,,,,,,,,
,155,7,302,"JQR/","יְקָר",,,,,", , , ",,"subs",,"dignity",,,,,,"dignity",,"done",,,,,,,,,,,,
,156,7,320,"KLL[","כלל",,,,"geminate",", , , geminate","geminate","verb","hsht shaf","complete",,,,,,"shaf: complete; hisht: be completed","shaf: complete; hitpe: ; hitpa: ; hisht: be completed; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof :.","Shafel=7",,,,,,,"complete",,,"be completed",,
,157,7,324,"KNT/","כְּנָת",,,,,", , , ",,"subs",,"colleague",,,,,,"colleague",,"done",,,,,,,,,,,,
,158,7,343,"LBB/","לְבַב",,,,,", , , ",,"subs",,"heart",,,,,,"heart",,"done",,,,,,,,,,,,
,159,7,347,"LHN=","לָהֵן II",,,,,", , , ",,"conj",,"except, but",,,,,,"except, but",,"done",,,,,,,,,,,,
,160,7,353,"LCN/","לִשָּׁן",,,,,", , , ",,"subs",,"tongue, language; people",,,,,,"tongue, language; people",,"done",,,,,,,,,,,,
,161,7,357,"M>N/","מָאן",,,,,", , , ",,"subs",,"vessel",,,,,,"vessel",,"done",,,,,,,,,,,,
,162,7,449,"NTN[","נתן","i-nun",,,,"i-nun, , , ","i-nun","verb","peal","give",,,,,,"peal: give","peal: give; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","give",,,,,,,,,,,
,163,7,467,"<BD/","עֲבֵד",,,,,", , , ",,"subs",,"servant",,,,,,"servant",,"done",,,,,,,,,,,,
,164,7,564,"QVL[","קטל",,,,"regular",", , , regular","regular","verb","htpa htpe pael peal peil","kill",,,,,,"peal: kill (ptc. only); pael: kill; peil: be killed (ptc. only); hitpe: be killed; hitpa: be killed (ptc. only)","peal: kill (ptc. only); pael: kill; peil: be killed (ptc. only); haf: ; hof: ; af: ; shaf: ; hitpe: be killed; hitpa: be killed (ptc. only); hisht: ; etpa: ; etpe: .","Peal=1","kill (ptc. only)","kill","be killed (ptc. only)",,,,,"be killed","be killed (ptc. only)",,,
,165,7,569,"QL/","קָל",,,,,", , , ",,"subs",,"voice, sound",,,,,,"voice, sound",,"done",,,,,,,,,,,,
,166,7,593,"RGL/","רְגַל",,,,,", , , ",,"subs",,"foot",,,,,,"foot",,"done",,,,,,,,,,,,
,167,7,611,"RCM[","רשׁם",,,,"regular",", , , regular","regular","verb","peal peil","write",,,,,,"peal: write","peal: write; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","write",,,,,,,,,,,
,168,7,635,"CLV[","שׁלט",,,,"regular",", , , regular","regular","verb","haf peal","rule",,,,,,"peal: rule; haf: make ruler","peal: rule; pael: ; peil: ; haf: make ruler; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","rule",,,"make ruler",,,,,,,,
,169,7,651,"CNH/","שְׁנָה I",,,,,", , , ",,"subs",,"year",,,,,,"year",,"done",,,,,,,,,,,,
,170,7,686,"TWR/","תֹּור",,,,,", , , ",,"subs",,"ox",,,,,,"ox",,"done",,,,,,,,,,,,
,171,6,20,">XRJ/","אָחֳרִי",,,,,", , , ",,"adjv",,"another",,,,,,"another",,"done",,,,,,,,,,,,
,172,6,24,">JLN/","אִילָן",,,,,", , , ",,"subs",,"tree",,,,,,"tree",,"done",,,,,,,,,,,,
,173,6,74,">RTXCFT>/","אַרְתַּחְשַׁשְׂתְּא",,,,,", , , ",,"nmpr",,"Artaxerxes",,,,,,"Artaxerxes",,"done",,,,,,,,,,,,
,174,6,77,">CP/","אָשַׁף",,,,,", , , ",,"subs",,"enchanter",,,,,,"enchanter, sorcerer, exorcist",,"done",,,,,,,,,,,,
,175,6,93,"BVL[","בטל",,,,"regular",", , , regular","regular","verb","pael peal","cease",,,,,,"peal: cease; pael: make to cease, hinder","peal: cease; pael: make to cease, hinder; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","cease","make to cease, hinder",,,,,,,,,,
,176,6,131,"GZR[","גזר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","etpe htpe peal","astrologers, soothsayers",,,,,,"peal: astrologers, soothsayers (ptc. only); hitpe: break off; etpe: break off.","peal: astrologers, soothsayers (ptc. only); pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: break off; hitpa: ; hisht: ; etpa: ; etpe: break off.","Peal=1","astrologers, soothsayers (ptc. only)",,,,,,,"break off",,,,"break off"
,177,6,143,"D>","דָּא",,,,,", , , ",,"prde",,"this",,,,,,"this",,"done",,,,,,,,,,,,
,178,6,156,"DXL[","דחל",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","pael peal","fear",,,,,,"peal: fear (ptc. only); pael: frighten; peil: terrible (ptc. only)","peal: fear (ptc. only); pael: frighten; peil: terrible (ptc. only); haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","fear (ptc. only)","frighten","terrible (ptc. only)",,,,,,,,,
,179,6,162,"DK","דֵּךְ",,,,,", , , ",,"prde",,"that",,,,,,"that",,"done",,,,,,,,,,,,
,180,6,179,"H","הֲ",,,,,", , , ",,"inrg",,"<interrogative>",,,,,"<IH>, <interrogative>, interrogative He","<IH>, <interrogative>, interrogative He",,"done",,,,,,,,,,,,
,181,6,203,"ZJW/","זִיו",,,,,", , , ",,"subs",,"splendour, splendor; facial features",,,,,,"splendour, splendor; facial features",,"done",,,,,,,,,,,,
,182,6,218,"XBL[","חבל","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","htpa pael","harm, destroy",,,,,,"pael: harm, destroy; hitpa: be destroyed","pael: harm, destroy; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: be destroyed; hisht: ; etpa: ; etpe: .","Pael=2",,"harm, destroy",,,,,,,"be destroyed",,,
,183,6,234,"XJH[","חיה","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","haf peal","live",,,,,,"peal: live; haf: let live (ptc. only)","peal: live; pael: ; peil: ; haf: let live (ptc. only); hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","live",,,"let live (ptc. only)",,,,,,,,
,184,6,244,"XMR/","חֲמַר",,,,,", , , ",,"subs",,"wine",,,,,,"wine",,"done",,,,,,,,,,,,
,185,6,400,"MCKB/","מִשְׁכַּב",,,,,", , , ",,"subs",,"bed",,,,,,"bed",,"done",,,,,,,,,,,,
,186,6,426,"NXT[","נחת","i-nun","ii-guttural",,,"i-nun, ii-guttural, , ","i-nun, ii-guttural","verb","afel haf hof peal","come down",,,,,,"peal: come down (ptc. Only); haf: deposit; hof: be deposed; af: deposit","peal: come down (ptc. Only); pael: ; peil: ; haf: deposit; hof: be deposed; af: deposit; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","come down (ptc. Only)",,,"deposit","be deposed","deposit",,,,,,
,187,6,462,"SPR=/","סָפַר",,,,,", , , ",,"subs",,"scribe",,,,,,"scribe",,"done",,,,,,,,,,,,
,188,6,470,"<BJDH/","עֲבִידַה",,,,,", , , ",,"subs",,"work; administration",,,,,,"work; administration",,"done",,,,,,,,,,,,
,189,6,517,"<FR/","עֲשַׂר",,,,,", , , ",,"subs",,"ten",,,,,,"ten",,"done",,,,,,,,,,,,
,190,6,529,"PM/","פֻּם",,,,,", , , ",,"subs",,"mouth",,,,,,"mouth",,"done",,,,,,,,,,,,
,191,6,534,"PRS/","פָּרַס",,,,,", , , ",,"nmpr",,"Persia",,,,,,"Persia",,"done",,,,,,,,,,,,
,192,6,542,"PTGM/","פִּתְגָם",,,,,", , , ",,"subs",,"word; decree",,,,,,"word; decree",,"done",,,,,,,,,,,,
,193,6,586,"RBH[","רבה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","pael peal","grow",,,,,,"peal: grow; pael: make great","peal: grow; pael: make great; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","grow","make great",,,,,,,,,,
,194,6,589,"RBJ<J/","רְבִיעָי",,,,,", , , ",,"adjv",,"fourth",,,,,,"fourth",,"done",,,,,,,,,,,,
,195,6,607,"R<JWN/","רַעְיֹון",,,,,", , , ",,"subs",,"thought",,,,,,"thought",,"done",,,,,,,,,,,,
,196,6,612,"C>L[","שׁאל",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","ask",,,,,,"peal: ask","peal: ask; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","ask",,,,,,,,,,,
,197,6,619,"CB</","שְׁבַע",,,,,", , , ",,"subs",,"seven",,,,,,"seven",,"done",,,,,,,,,,,,
,198,6,662,"CRH[","שׁרה",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","htpa pael peal","loosen; dwell",,,,,,"peal: loosen, dwell; pael: begin; peil: loosed, abide; hitpa: be loosened (ptc. only)","peal: loosen, dwell; pael: begin; peil: loosed, abide; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: be loosened (ptc. only); hisht: ; etpa: ; etpe: .","Peal=1","loosen, dwell","begin","loosed, abide",,,,,,"be loosened (ptc. only)",,,
,199,5,22,">XRN/","אָחֳרָן",,,,,", , , ",,"adjv",,"another",,,,,,"another",,"done",,,,,,,,,,,,
,200,5,32,">LW","אֲלוּ",,,,,", , , ",,"intj",,"behold",,,,,,"behold",,"done",,,,,,,,,,,,
,201,5,33,">LJN","אִלֵּין",,,,,", , , ",,"prde",,"these",,,,,,"these",,"done",,,,,,,,,,,,
,202,5,54,"></","אָע",,,,,", , , ",,"subs",,"wood; beam",,,,,,"wood; beam",,"done",,,,,,,,,,,,
,203,5,63,">RW","אֲרוּ",,,,,", , , ",,"intj",,"behold",,,,,,"behold",,"done",,,,,,,,,,,,
,204,5,66,">RJWK/","אַרְיֹוךְ",,,,,", , , ",,"nmpr",,"Arioch",,,,,,"Arioch",,"done",,,,,,,,,,,,
,205,5,83,">TR/","אֲתַר",,,,,", , , ",,"subs",,"place; trace",,,,,,"place; trace",,"done",,,,,,,,,,,,
,206,5,111,"BQR[","בקר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","htpa pael","search, investigate",,,,,,"pael: search, investigate; hitpa: be investigated","pael: search, investigate; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: be investigated; hisht: ; etpa: ; etpe: .","Pael=2",,"search, investigate",,,,,,,"be investigated",,,
,207,5,117,"BRM","בְּרַם",,,,,", , , ",,"advb",,"but",,,,,,"but",,"done",,,,,,,,,,,,
,208,5,142,"GCM/","גְּשֵׁם",,,,,", , , ",,"subs",,"body",,,,,,"body",,"done",,,,,,,,,,,,
,209,5,158,"DJN/","דִּין",,,,,", , , ",,"subs",,"judgment; court",,,,,,"judgment; court",,"done",,,,,,,,,,,,
,210,5,233,"XJ/","חַי",,,,,", , , ",,"adjv",,"living",,,,,,"living",,"done",,,,,,,,,,,,
,211,5,255,"XRVM/","חַרְטֹּם",,,,,", , , ",,"subs",,"magician",,,,,,"magician, soothsayer-priest",,"done",,,,,,,,,,,,
,212,5,271,"VL/","טַל",,,,,", , , ",,"subs",,"dew",,,,,,"dew",,"done",,,,,,,,,,,,
,213,5,298,"JYJB/","יַצִּיב",,,,,", , , ",,"adjv",,"reliable",,,,,,"reliable, reliably, certain, certainly",,"done",,,,,,,,,,,,
,214,5,309,"JTB[","יתב","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","haf peal","sit; dwell",,,,,,"peal: sit, dwell; haf: cause to dwell","peal: sit, dwell; pael: ; peil: ; haf: cause to dwell; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","sit, dwell",,,"cause to dwell",,,,,,,,
,215,5,322,"KNM>","כְּנֵמָא",,,,,", , , ",,"advb",,"thus",,,,,,"thus",,"done",,,,,,,,,,,,
,216,5,352,"LJLJ/","לֵילֵי",,,,,", , , ",,"subs",,"night",,,,,,"night",,"done",,,,,,,,,,,,
,217,5,363,"MDJ/","מָדַי I",,,,,", , , ",,"nmpr",,"Media",,,,,,"Media",,"done",,,,,,,,,,,,
,218,5,383,"MLL[","מלל",,,,"geminate",", , , geminate","geminate","verb","pael","speak",,,,,,"pael: speak","pael: speak; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"speak",,,,,,,,,,
,219,5,388,"MNH[","מנה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","pael peal","count",,,,,,"peal: count; pael: appoint","peal: count; pael: appoint; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","count","appoint",,,,,,,,,,
,220,5,454,"SGN/","סְגַן",,,,,", , , ",,"subs",,"prefect",,,,,,"prefect",,"done",,,,,,,,,,,,
,221,5,457,"SWP/","סֹוף",,,,,", , , ",,"subs",,"end",,,,,,"end",,"done",,,,,,,,,,,,
,222,5,461,"SPR/","סְפַר",,,,,", , , ",,"subs",,"book",,,,,,"book",,"done",,,,,,,,,,,,
,223,5,464,"SRK/","סָרַךְ",,,,,", , , ",,"subs",,"high official, minister",,,,,,"high official, minister",,"done",,,,,,,,,,,,
,224,5,485,"<JN/","עַיִן",,,,,", , , ",,"subs",,"eye",,,,,,"eye",,"done",,,,,,,,,,,,
,225,5,516,"<FB/","עֲשַׂב",,,,,", , , ",,"subs",,"herbs, grass",,,,,,"herbs, grass",,"done",,,,,,,,,,,,
,226,5,547,"YB<[","צבע",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","htpa pael","make wet",,,,,,"peal: make wet (ptc. only); hitpa: be wet","peal: make wet (ptc. only); pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: be wet; hisht: ; etpa: ; etpe: .","Peal=1","make wet (ptc. only)",,,,,,,,"be wet",,,
,227,5,587,"RBW/","רְבוּ",,,,,", , , ",,"subs",,"greatness",,,,,,"greatness",,"done",,,,,,,,,,,,
,228,5,597,"RWM/","רוּם",,,,,", , , ",,"subs",,"height",,,,,,"height",,"done",,,,,,,,,,,,
,229,5,616,"CBX[","שׁבח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","pael","praise",,,,,,"pael: praise","pael: praise; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"praise",,,,,,,,,,
,230,5,620,"CBQ[","שׁבק",,,,"regular",", , , regular","regular","verb","htpe peal","leave, let alone",,,,,,"peal: leave, let alone; hitpe: be left to","peal: leave, let alone; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: be left to, pass on; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","leave, let alone",,,,,,,"be left to, pass on",,,,
,231,5,654,"C<H/","שָׁעָה",,,,,", , , ",,"subs",,"moment",,,,,,"moment",,"done",,,,,,,,,,,,
,232,5,667,"CTH[","שׁתה",,,,"prosthetic Aleph",", , , prosthetic Aleph","prosthetic Aleph","verb","peal","drink",,,,,,"peal: drink","peal: drink; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","drink",,,,,,,,,,,
,233,5,670,"FB/","שָׂב",,,,,", , , ",,"subs",,"elder",,,,,,"elder",,"done",,,,,,,,,,,,
,234,5,687,"TXWT/","תְּחֹות",,,,,", , , ",,"subs",,"underneath",,,,,,"underneath",,"done",,,,,,,,,,,,
,235,5,698,"TQJP/","תַּקִּיף",,,,,", , , ",,"adjv",,"strong",,,,,,"strong",,"done",,,,,,,,,,,,
,236,5,704,"TQP[","תקף",,,,"regular",", , , regular","regular","verb","pael peal","be, become strong",,,,,,"peal: be, become strong; pael: enforce","peal: be, become strong; pael: enforce; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be, become strong","enforce",,,,,,,,,,
,237,4,29,">L","אַל",,,,,", , , ",,"nega",,"not",,,,,,"not",,"done",,,,,,,,,,,,
,238,4,35,">LP/","אֲלַף",,,,,", , , ",,"subs",,"thousand",,,,,,"thousand",,"done",,,,,,,,,,,,
,239,4,36,">MH/","אַמָּה",,,,,", , , ",,"subs",,"cubit <measure>",,,,,,"cubit <measure>",,"done",,,,,,,,,,,,
,240,4,43,">NXN>","אֲנַחְנָא",,,,,", , , ",,"prps",,"we",,,,,,"we",,"done",,,,,,,,,,,,
,241,4,55,">P","אַף",,,,,", , , ",,"advb",,"also",,,,,,"also",,"done",,,,,,,,,,,,
,242,4,115,"BRK[","ברך I",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","pael peal","be blessed",,,,,,"peal: be blessed (ptc. only); pael: bless; peil: be blessed (ptc. only)","peal: be blessed (ptc. only); pael: bless; peil: be blessed (ptc. only); haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be blessed (ptc. only)","bless","be blessed (ptc. only)",,,,,,,,,
,243,4,136,"GLW/","גָּלוּ",,,,,", , , ",,"subs",,"exile",,,,,,"exile",,"done",,,,,,,,,,,,
,244,4,173,"DR/","דָּר",,,,,", , , ",,"subs",,"generation",,,,,,"generation",,"done",,,,,,,,,,,,
,245,4,182,"HDBR/","הַדָּבַר",,,,,", , , ",,"subs",,"high royal official",,,,,,"high royal official",,"done",,,,,,,,,,,,
,246,4,208,"ZMR/","זְמָר",,,,,", , , ",,"subs",,"music for strings",,,,,,"music for strings",,"done",,,,,,,,,,,,
,247,4,210,"ZN/","זַן",,,,,", , , ",,"subs",,"sort",,,,,,"sort",,"done",,,,,,,,,,,,
