"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,29,29,557,"QBL/","קֳבֵל",,,,,", , , ",,"subs",,"before, opposite, because of, because",,,,,,"before, because of, because, since, as",,"done",,,,,,,,,,,,
,30,28,284,"JHB[","יהב","i-waw/yod","ii-guttural",,,"i-waw/yod, ii-guttural, , ","i-waw/yod, ii-guttural","verb","htpe peal peil","give; place",,,,,,"peal: give, place; peil: be given, lay; hitpe: be given","peal: give, place; pael: ; peil: be given, lay; haf: ; hof: ; af: ; shaf: ; hitpe: be given; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","give, place",,"be given, lay",,,,,"be given",,,,
,31,28,468,"<BD[","עבד","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","htpe peal","do, act; make",,,,,,"peal: do, act, make; hitpe: be done, made","peal: do, act, make; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: be done, made; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","do, act, make",,,,,,,"be done, made",,,,
,32,26,303,"JRWCLM/","יְרוּשְׁלֶם",,,,,", , , ",,"nmpr",,"Jerusalem",,,,,,"Jerusalem",,"done",,,,,,,,,,,,
,33,26,676,"FJM[","שׂים",,"ii-yod",,,", ii-yod, , ","ii-yod","verb","htpe peal peil","make, set",,,,,,"peal: make, set; peil: give (order), lay; hitpe: be put, be made into","peal: make, set; pael: ; peil: give (order), lay; haf: ; hof: ; af: ; shaf: ; hitpe: be put, be made into; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","make, set",,"give (order), lay",,,,,"be put, be made into",,,,
,34,25,47,">NC/","אֱנָשׁ",,,,,", , , ",,"subs",,"human being; mankind",,,,,,"human being; mankind",,"done",,,,,,,,,,,,
,35,25,88,"BBL/","בָּבֶל",,,,,", , , ",,"nmpr",,"Babylon",,,,,,"Babylon",,"done",,,,,,,,,,,,
,36,24,376,"MLH/","מִלָּה",,,,,", , , ",,"subs",,"word, matter",,,,,,"word, matter",,"done",,,,,,,,,,,,
,37,23,149,"DHB/","דְּהַב",,,,,", , , ",,"subs",,"gold",,,,,,"gold",,"done",,,,,,,,,,,,
,38,22,104,"BNH[","בנה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","htpe peal","build",,,,,,"peal: build; peil: be built (ptc. only); hitpe: be built","peal: build; pael: ; peil: be built (ptc. only); haf: ; hof: ; af: ; shaf: ; hitpe: be built; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","build",,"be built (ptc. only)",,,,,"be built",,,,
,39,22,240,"XLM/","חֵלֶם",,,,,", , , ",,"subs",,"dream",,,,,,"dream",,"done",,,,,,,,,,,,
,40,22,498,"<M","עִם",,,,,", , , ",,"prep",,"along with; near, by",,,,,,"along with; near, by",,"done",,,,,,,,,,,,
,41,21,71,">R</","אֲרַע",,,,,", , , ",,"subs",,"earth; beneath, inferior",,,,,,"earth; inferior",,"done",,,,,,,,,,,,
,42,21,123,"GBR/","גְּבַר",,,,,", , , ",,"subs",,"man",,,,,,"man",,"done",,,,,,,,,,,,
,43,21,653,"CNH[","שׁנה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","etpa haf pael peal","change; be different",,,,,,"peal: change, be different; pael: change; haf: alter, violate; etpa: be changed","peal: change, be different; pael: change; peil: ; haf: alter, violate; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: be changed; etpe: .","Peal=1","change, be different","change",,"alter, violate",,,,,,,"be changed",
,44,20,235,"XJWH/","חֵיוָה",,,,,", , , ",,"subs",,"animal; animals",,,,,,"animal; animals",,"done",,,,,,,,,,,,
,45,20,495,"<LM/","עָלַם",,,,,", , , ",,"subs",,"remote time, eternity",,,,,,"remote time, eternity",,"done",,,,,,,,,,,,
,46,20,532,"PRZL/","פַּרְזֶל",,,,,", , , ",,"subs",,"iron",,,,,,"iron",,"done",,,,,,,,,,,,
,47,19,112,"BR/","בַּר I",,,,,", , , ",,"subs",,"son",,,,,,"son",,"done",,,,,,,,,,,,
,48,19,584,"RB/","רַב I",,,,,", , , ",,"adjv",,"great",,,,,,"great; large; many",,"done",,,,,,,,,,,,
