"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,6006,1,426,">LJ/","אֱלִי ",,,,,", , , ",,"adjv",,"from Bethel",,,,,,"from Bethel","from Bethel",,,,,,,,,,,,,,,,,,
,6007,1,446,">LJ<NJ/","אֱלִיעֵנַי ",,,,,", , , ",,"subs",,,,,,,,"Elienai","Elienai",,,,,,,,,,,,,,,,,,
,6008,1,429,">LJ>TH/","אֱלִיאָתָה ",,,,,", , , ",,"nmpr",,"Eliathah",,,,,,"Eliathah","Eliathah",,,,,,,,,,,,,,,,,,
,6009,1,455,">LJCB</","אֱלִישֶׁבַע ",,,,,", , , ",,"nmpr",,"Elisheba",,,,,,"Elisheba","Elisheba",,,,,,,,,,,,,,,,,,
,6010,1,461,">LJCPV/","אֱלִישָׁפָט ",,,,,", , , ",,"nmpr",,"Elishaphat",,,,,,"Elishaphat","Elishaphat",,,,,,,,,,,,,,,,,,
,6011,1,430,">LJDD/","אֱלִידָד ",,,,,", , , ",,"nmpr",,"Elidad",,,,,,"Elidad","Elidad",,,,,,,,,,,,,,,,,,
,6012,1,448,">LJPL/","אֱלִיפַל ",,,,,", , , ",,"nmpr",,"Eliphal",,,,,,"Eliphal","Eliphal",,,,,,,,,,,,,,,,,,
,6013,1,453,">LJQ>/","אֱלִיקָא ",,,,,", , , ",,"nmpr",,"Elika",,,,,,"Elika","Elika",,,,,,,,,,,,,,,,,,
,6014,1,462,">LJTH/","אֱלִיָּתָה ",,,,,", , , ",,"nmpr",,"Eliathah",,,,,,"Eliathah","Eliathah",,,,,,,,,,,,,,,,,,
,6015,1,440,">LJXRP/","אֱלִיחֹרֶף ",,,,,", , , ",,"nmpr",,"Elihoreph",,,,,,"Elihoreph","Elihoreph",,,,,,,,,,,,,,,,,,
,6016,1,470,">LMLK/","אַלַּמֶּלֶךְ ",,,,,", , , ",,"nmpr",,"Allammelech",,,,,,"Allammelech","Allammelech",,,,,,,,,,,,,,,,,,
,6017,1,471,">LMN/","אַלְמֹן I",,,,,", , , ",,"subs",,"widowhood",,,,,,"widowhood","widowhood",,,,,,,,,,,,,,,,,,
,6018,1,472,">LMN=/","אַלְמָן II",,,,,", , , ",,"subs",,"widower",,,,,,"widower","widower",,,,,,,,,,,,,,,,,,
,6019,1,477,">LN<M/","אֶלְנָעַם ",,,,,", , , ",,"nmpr",,"Elnaam",,,,,,"Elnaam","Elnaam",,,,,,,,,,,,,,,,,,
,6020,1,476,">LNJ/","אֵלֹנִי ",,,,,", , , ",,"adjv",,"Elonite",,,,,,"Elonite","Elonite",,,,,,,,,,,,,,,,,,
,6021,1,490,">LP=[","אלף II","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif","produce by thousands",,,,,,,"hi: produce by thousands;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: produce by thousands; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,,,,,"produce by thousands",,,,,,,,,,
,6022,1,489,">LP===/","אֶלֶף IV",,,,,", , , ",,"nmpr",,"Haeleph",,,,,,"Haeleph","Haeleph",,,,,,,,,,,,,,,,,,
,6023,1,492,">LPLV/","אֶלְפֶּלֶט ",,,,,", , , ",,"nmpr",,"Elpelet",,,,,,"Elpelet","Elpelet",,,,,,,,,,,,,,,,,,
,6024,1,498,">LQCJ/","אֶלְקֹשִׁי ",,,,,", , , ",,"adjv",,"Elkoshite",,,,,,"Elkoshite","Elkoshite",,,,,,,,,,,,,,,,,,
,6025,1,496,">LQWM/","אַלְקוּם ",,,,,", , , ",,"subs",,"<uncertain>",,,,,,"(uncertain)","(uncertain)",,,,,,,,,,,,,,,,,,
,6026,1,501,">LTQN/","אֶלְתְּקֹן ",,,,,", , , ",,"nmpr",,"Eltekon",,,,,,"Eltekon","Eltekon",,,,,,,,,,,,,,,,,,
,6027,1,415,">LWL/","אֱלוּל ",,,,,", , , ",,"nmpr",,"Elul <month>",,,,,,"Elul (month)","Elul (month)",,,,,,,,,,,,,,,,,,
,6028,1,419,">LWN===/","אַלֹּון IV",,,,,", , , ",,"nmpr",,"Allon",,,,,,"Allon","Allon",,,,,,,,,,,,,,,,,,
,6029,1,494,">LY[","אלץ ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","piel","press, urge",,,,,,,"pi: press, urge;","qal: ; qal pass: ; ni: ; pi: press, urge; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,,"press, urge",,,,,,,,,,,,,
,6030,1,507,">MH===/","אַמָּה IV",,,,,", , , ",,"subs",,"authority?; mother-city?",,,,,,"authority?; mother-city?","authority?; mother-city?",,,,,,,,,,,,,,,,,,
,6031,1,508,">MH====/","אַמָּה V",,,,,", , , ",,"nmpr",,"Ammah",,,,,,"Ammah","Ammah",,,,,,,,,,,,,,,,,,
,6032,1,515,">MJ/","אָמִי ",,,,,", , , ",,"nmpr",,"Ami",,,,,,"Ami","Ami",,,,,,,,,,,,,,,,,,
,6033,1,519,">MLH/","אֲמֻלָה ",,,,,", , , ",,"subs",,"feverish",,,,,,"feverish","feverish",,,,,,,,,,,,,,,,,,
,6034,1,520,">MLL/","אֲמֵלָל I",,,,,", , , ",,"adjv",,"feeble",,,,,,"feeble","feeble",,,,,,,,,,,,,,,,,,
,6035,1,521,">MLL=/","אֻמְלַל II",,,,,", , , ",,"adjv",,"languishing",,,,,,"languishing","languishing",,,,,,,,,,,,,,,,,,
,6036,1,522,">MM/","אֲמָם ",,,,,", , , ",,"nmpr",,"Amam",,,,,,"Amam","Amam",,,,,,,,,,,,,,,,,,
,6037,1,524,">MN/","אֵמֻן I",,,,,", , , ",,"subs",,"faithfulness",,,,,,"faithfulness","faithfulness",,,,,,,,,,,,,,,,,,
,6038,1,525,">MN=/","אֹמֶן II",,,,,", , , ",,"subs",,"faithfulness",,,,,,"faithfulness","faithfulness",,,,,,,,,,,,,,,,,,
,6039,1,526,">MN==/","אָמָּן III",,,,,", , , ",,"subs",,"artisan",,,,,,"artisan","artisan",,,,,,,,,,,,,,,,,,
,6040,1,529,">MNH/","אֹמְנָה I",,,,,", , , ",,"subs",,"doorpost",,,,,,"doorpost","doorpost",,,,,,,,,,,,,,,,,,
,6041,1,530,">MNH=/","אָמְנָה II",,,,,", , , ",,"subs",,"fostering",,,,,,"fostering","fostering",,,,,,,,,,,,,,,,,,
,6042,1,547,">MR=[","אמר II","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hit","boast",,,,,,,"hit: boast;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: boast; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,,,,"boast",,,,,,,,,,,
,6043,1,545,">MR==/","אֵמֶר III",,,,,", , , ",,"subs",,"word; lamb?",,,,,,"word; lamb?","word; lamb?",,,,,,,,,,,,,,,,,,
,6044,1,512,">MWN===/","אָמֹון IV",,,,,", , , ",,"nmpr",,"Amon",,,,,,"Amon","Amon",,,,,,,,,,,,,,,,,,
,6045,1,536,">MY/","אֹמֶץ I",,,,,", , , ",,"subs",,"strength",,,,,,"strength","strength",,,,,,,,,,,,,,,,,,
,6046,1,539,">MYH/","אַמְצָה ",,,,,", , , ",,"subs",,"strength",,,,,,"strength","strength",,,,,,,,,,,,,,,,,,
,6047,1,586,">NC[","אנשׁ ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","nif","be very sick",,,,,,,"ni: be very sick;","qal: ; qal pass: ; ni: be very sick; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,"be very sick",,,,,,,,,,,,,,
,6048,1,576,">NJ<M/","אֲנִיעָם ",,,,,", , , ",,"nmpr",,"Aniam",,,,,,"Aniam","Aniam",,,,,,,,,,,,,,,,,,
,6049,1,585,">NQH=/","אֲנָקָה II",,,,,", , , ",,"subs",,"lizard, gecko?",,,,,,"lizard, gecko?","lizard, gecko?",,,,,,,,,,,,,,,,,,
,6050,1,580,">NS[","אנס ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","qal","force",,,,,,,"qal: force;","qal: force; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision","force",,,,,,,,,,,,,,,
,6051,1,571,">NXRT/","אֲנָחֲרַת ",,,,,", , , ",,"nmpr",,"Anaharath",,,,,,"Anaharath","Anaharath",,,,,,,,,,,,,,,,,,
,6052,1,636,">P</","אָפַע ",,,,,", , , ",,"subs",,"nothing",,,,,,"nothing","nothing",,,,,,,,,,,,,,,,,,
,6053,1,614,">PD=/","אֵפֹד II",,,,,", , , ",,"nmpr",,"Ephod",,,,,,"Ephod","Ephod",,,,,,,,,,,,,,,,,,
,6054,1,617,">PDN/","אַפֶּדֶן ",,,,,", , , ",,"subs",,"royal tent",,,,,,"royal tent","royal tent",,,,,,,,,,,,,,,,,,
,6055,1,622,">PJL/","אָפִיל ",,,,,", , , ",,"adjv",,"late",,,,,,"late","late",,,,,,,,,,,,,,,,,,
,6056,1,625,">PJQ=/","אָפִיק II",,,,,", , , ",,"adjv",,"strong",,,,,,"strong","strong",,,,,,,,,,,,,,,,,,
,6057,1,626,">PJQ==/","אֲפִיק III",,,,,", , , ",,"nmpr",,"Aphek",,,,,,"Aphek","Aphek",,,,,,,,,,,,,,,,,,
,6058,1,621,">PJX/","אֲפִיחַ ",,,,,", , , ",,"nmpr",,"Aphiah",,,,,,"Aphiah","Aphiah",,,,,,,,,,,,,,,,,,
,6059,1,627,">PL/","אָפֵל I",,,,,", , , ",,"subs",,"darkness",,,,,,"darkness","darkness",,,,,,,,,,,,,,,,,,
