"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
"sec0113",1,50273,1953,"W","וְ ",,,,,", , , ",,"conj",,"and",,,,"Mitchel_Sec1.A (50273-2200)",,"and; also, even (conj); but","and; also, even (conj); but",,"done",,,,,,,,,,,,,,,,
"sec0111",2,30380,1793,"H","הַ I",,,,,", , , ",,"art",,"the",,,,"Mitchel_Sec1.A (50273-2200)",,"the (art)","the (art)",,"done",,,,,,,,,,,,,,,,
"sec0120",3,20069,3682,"L","לְ ",,,,,", , , ",,"prep",,"to, in regard to, for",,,,"Mitchel_Sec1.A (50273-2200)",,"to, toward (prep); Do, Yes, (voc); in regard to, for","to, toward (prep); Do, Yes, (voc); in regard to, for",,"done",,,,,,,,,,,,,,,,
"sec0108",4,15541,834,"B","בְּ ",,,,,", , , ",,"prep",,"in, at (time, place); with; by; by means of",,,,"Mitchel_Sec1.A (50273-2200)",,"in, at (time, place); with; by; by means of","in, at (time, place); with; by; by means of",,"done",,,,,,,,,,,,,,,,
"sec0107",5,11016,814,">T","אֵת I",,,,,", , , ",,"prep",,"<object marker>",,,,"Mitchel_Sec1.A (50273-2200)",,"<OM>; object marker","<OM>; object marker",,"done",,,,,,,,,,,,,,,,
"sec0123",6,7562,4343,"MN","מִן I",,,,,", , , ",,"prep",,"from, out of",,,,"Mitchel_Sec1.B (2199-1000)",,"from, out of, part of, because of (prep); than (comp)","from, out of, part of, because of (prep); than (comp)",,"done",,,,,,,,,,,,,,,,
"sec0114",7,6828,2965,"JHWH/","יְהוָה ",,,,,", , , ",,"nmpr",,"the Lord, Yhwh",,,,"Mitchel_Sec1.A (50273-2200)",,"YHWH, LORD","YHWH, LORD",,"done",,,,,,,,,,,,,,,,
"sec0124",8,5766,5796,"<L","עַל ",,,,,", , , ",,"prep",,"upon, over; on account of; against, opposite to",,,,"Mitchel_Sec1.A (50273-2200)",,"on, upon, against, over (prep); on account of; opposite to","on, upon, against, over (prep); on account of; opposite to",,"done",,,,,,,,,,,,,,,,
"sec0102",9,5517,392,">L","אֶל I",,,,,", , , ",,"prep",,"towards",,,,"Mitchel_Sec1.A (50273-2200)",,"toward (prep), unto; towards","toward (prep), unto; towards",,"done",,,,,,,,,,,,,,,,
"sec0106",10,5500,797,">CR","אֲשֶׁר ",,,,,", , , ",,"conj",,"that which; the one who(m)",,,,"Mitchel_Sec1.A (50273-2200)",,"who, which, that","who, which, that",,"done",,,,,,,,,,,,,,,,
"sec0119",11,5412,3485,"KL/","כֹּל ",,,,,", , , ",,"subs",,"the whole, all",,,,"Mitchel_Sec1.A (50273-2200)",,"all, every","all, every",,"done",,,,,,,,,,,,,,,,
"sec0104",12,5307,548,">MR[","אמר I","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","hif nif qal","say, think",,,,"Mitchel_Sec1.A (50273-2200)",,,"qal: say, think; ni: be said, be called; hi: declare;","qal: say, think; qal pass: ; ni: be said, be called; pi: ; pu: ; hit: ; hi: declare; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","say, think","be said, be called",,,,"declare",,,,,,,,,,
"sec0121",13,5167,3683,"L>","לֹא ",,,,,", , , ",,"nega",,"not",,,,"Mitchel_Sec1.A (50273-2200)",,"not, no (neg)","not, no (neg)",,"done",,,,,,,,,,,,,,,,
"sec0110",14,4937,1066,"BN/","בֵּן I",,,,,", , , ",,"subs",,"son",,,,"Mitchel_Sec1.A (50273-2200)",,"son","son",,"done",,,,,,,,,,,,,,,,
"sec0118",15,4483,3468,"KJ","כִּי ",,,,,", , , ",,"conj",,"that, for, when; yea",,,,"Mitchel_Sec1.A (50273-2200)",,"for, because, that, when, but; indeed, truly (con); yea","for, because, that, when, but; indeed, truly (con); yea",,"done",,,,,,,,,,,,,,,,
"sec0112",16,3561,1865,"HJH[","היה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","nif qal","be, become, occur",,,,"Mitchel_Sec1.A (50273-2200)",,,"qal: be, happen, become, occur; ni: be realized, occur;","qal: be, happen, become, occur; qal pass: ; ni: be realized, occur; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be, happen, become, occur","be realized, occur",,,,,,,,,,,,,,
"sec0117",17,2902,3395,"K","כְּ ",,,,,", , , ",,"prep",,"like, according to, even as, about, as soon as",,,,"Mitchel_Sec1.A (50273-2200)",,"like, as, (prep); according to, as soon as","like, as, (prep); according to, as soon as",,"done",,,,,,,,,,,,,,,,
"sec0125",18,2629,6092,"<FH[","עשׂה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","nif piel pual qal","make, do; fix; deal with",,,,"Mitchel_Sec1.A (50273-2200)",,,"qal: do, make; ni: be made, done; pi: press, squeeze; pu: be made;","qal: do, make; qal pass: ; ni: be made, done; pi: press, squeeze; pu: be made; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","do, make","be made, done","press, squeeze","be made",,,,,,,,,,,,
"sec0103",19,2601,412,">LHJM/","אֱלֹהִים ",,,,,", , , ",,"subs",,"god; gods; God",,,,"Mitchel_Sec1.A (50273-2200)",,"God; gods; god","God; gods; god",,"done",,,,,,,,,,,,,,,,
"sec0109",20,2570,889,"BW>[","בוא ",,"ii-waw","iii-aleph",,", ii-waw, iii-aleph, ","ii-waw, iii-aleph","verb","hif hof qal","enter; come, arrive",,,,"Mitchel_Sec1.A (50273-2200)",,,"qal: come, enter, go in; hi: bring; let come; ho: be brought;","qal: come, enter, go in; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: bring; let come; ho: be brought; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","come, enter, go in",,,,,"bring; let come","be brought",,,,,,,,,
"sec0122",21,2523,4289,"MLK/","מֶלֶךְ I",,,,,", , , ",,"subs",,"king","Professions and Occupation",,,"Mitchel_Sec1.A (50273-2200)",,"king","king",,"done",,,,,,,,,,,,,,,,
"sec0116",22,2506,3368,"JFR>L/","יִשְׂרָאֵל ",,,,,", , , ",,"nmpr",,"Israel",,,,"Mitchel_Sec1.A (50273-2200)",,"Israel","Israel",,"done",,,,,,,,,,,,,,,,
"sec0105",23,2504,741,">RY/","אֶרֶץ ",,,,,", , , ",,"subs",,"land; territory, country; the earth",,,,"Mitchel_Sec1.A (50273-2200)",,"earth; land, territory","earth; land, territory",,"done",,,,,,,,,,,,,,,,
"sec0115",24,2304,3010,"JWM/","יֹום ",,,,,", , , ",,"subs",,"day; that day",,,,"Mitchel_Sec1.A (50273-2200)",,"day","day",,"done",,,,,,,,,,,,,,,,
"sec0101",25,2186,365,">JC/","אִישׁ ",,,,,", , , ",,"subs",,"man; human being; somebody; each one",,,,"Mitchel_Sec1.B (2199-1000)",,"man; human being; somebody; each one","man; human being; somebody; each one",,"done",,,,,,,,,,,,,,,,
"sec0222",26,2127,6317,"PNH/","פָּנֶה I",,,,,", , , ",,"subs",,"face; surface; front",,,,"Mitchel_Sec1.B (2199-1000)",,"face; surface; front","face; surface; front",,"done",,,,,,,,,,,,,,,,
"sec0204",27,2063,957,"BJT/","בַּיִת ",,,,,", , , ",,"subs",,"house; family; interior","Building and Structure",,,"Mitchel_Sec1.B (2199-1000)",,"house; family","house; family",,"done",,,,,,,,,,,,,,,,
"sec0217",28,2010,5271,"NTN[","נתן ","i-nun",,,,"i-nun, , , ","i-nun","verb","hof nif qal","give, put, set",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: give, place; ni: be given, put; ho: be given, put upon;","qal: give, place; qal pass: ; ni: be given, put; pi: ; pu: ; hit: ; hi: ; ho: be given, put upon; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","give, place","be given, put",,,,,"be given, put upon",,,,,,,,,
"sec0221",29,1866,5840,"<M/","עַם ",,,,,", , , ",,"subs",,"people; kinship; relative",,,,"Mitchel_Sec1.B (2199-1000)",,"people; kinship; relative","people; kinship; relative",,"done",,,,,,,,,,,,,,,,
"sec0212",30,1618,2928,"JD/","יָד ",,,,,", , , ",,"subs",,"hand, side, place, power, monument",,,,"Mitchel_Sec1.B (2199-1000)",,"hand, power, monument","hand, power, monument",,"done",,,,,,,,,,,,,,,,
"sec0209",31,1547,1880,"HLK[","הלך ","i-waw",,,,"i-waw, , , ","i-waw","verb","hif hit nif piel qal","go, walk",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: go, walk; ni: be gone, fade; pi: go, walk; hit: go, walk, go about; hi: lead, bring, cause to go;","qal: go, walk; qal pass: ; ni: be gone, fade; pi: go, walk; pu: ; hit: go, walk, go about; hi: lead, bring, cause to go; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","go, walk","be gone, fade","go, walk",,"go, walk, go about","lead, bring, cause to go",,,,,,,,,,
"sec0206",32,1441,1616,"DBR/","דָּבָר I",,,,,", , , ",,"subs",,"word, deed, thing",,,,"Mitchel_Sec1.B (2199-1000)",,"word; thing, matter; deed","word; thing, matter; deed",,"done",,,,,,,,,,,,,,,,
"sec0208",33,1394,1835,"HW>","הוּא ",,,,,", , , ",,"prps",,"he",,,,"Mitchel_Sec1.B (2199-1000)",,"he","he",,"done",,,,,,,,,,,,,,,,
"sec0223",34,1298,7100,"R>H[","ראה ","i-guttural","ii-guttural","iii-hey",,"i-guttural, ii-guttural, iii-hey, ","i-guttural, ii-guttural, iii-hey","verb","hif hit hof nif pual qal","see; get to know; look at; choose",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: see; get to know; look at; choose; ni: be seen, become visible; pu: be seen; hit: look at one another; meet in combat; hi: show; ho: be made to see; be shown;","qal: see; get to know; look at; choose; qal pass: ; ni: be seen, become visible; pi: ; pu: be seen; hit: look at one another; meet in combat; hi: show; ho: be made to see; be shown; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","see; get to know; look at; choose","be seen, become visible",,"be seen","look at one another; meet in combat","show","be made to see; be shown",,,,,,,,,
"sec0218",35,1263,5568,"<D","עַד ",,,,,", , , ",,"prep",,"as far as, until; while",,,,"Mitchel_Sec1.B (2199-1000)",,"to (prep), unto, as far as (spacial); until, while (temporal)","to (prep), unto, as far as (spacial); until, while (temporal)",,"done",,,,,,,,,,,,,,,,
"sec0201",36,1217,1,">B/","אָב I",,,,,", , , ",,"subs",,"father","Family and Kinship",,,"Mitchel_Sec1.B (2199-1000)",,"father","father",,"done",,,,,,,,,,,,,,,,
"sec0211",37,1177,1990,"ZH","זֶה I",,,,,", , , ",,"prde",,"this",,,,"Mitchel_Sec1.B (2199-1000)",,"this","this",,"done",,,,,,,,,,,,,,,,
"sec0225",38,1159,7956,"CM<[","שׁמע ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif piel qal","hear, listen to",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: hear; give ear to, obey; ni: be heard; pi: summon; hi: make heard; summon;","qal: hear; give ear to, obey; qal pass: ; ni: be heard; pi: summon; pu: ; hit: ; hi: make heard; summon; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","hear; give ear to, obey","be heard","summon",,,"make heard; summon",,,,,,,,,,
"sec0205",39,1138,1622,"DBR[","דבר I",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hit nif piel pual qal","speak",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: speak; ni: speak; pi: speak; pu: be spoken; hit: speak;","qal: speak; qal pass: ; ni: speak; pi: speak; pu: be spoken; hit: speak; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","speak","speak","speak","be spoken","speak",,,,,,,,,,,
"sec0219",40,1090,5767,"<JR/","עִיר I",,,,,", , , ",,"subs",,"town; quarter of a town",,,,"Mitchel_Sec1.B (2199-1000)",,"city","city",,"done",,,,,,,,,,,,,,,,
"sec0215",41,1082,3314,"JCB[","ישׁב ","i-waw",,,,"i-waw, , , ","i-waw","verb","hif hof nif piel qal","sit, sit down, dwell, be inhabited",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: sit, dwell, inhabit; ni: be inhabited; pi: set up; hi: cause to sit, cause to dwell; marry; ho: be inhabited, be made to dwell;","qal: sit, dwell, inhabit; qal pass: ; ni: be inhabited; pi: set up; pu: ; hit: ; hi: cause to sit, cause to dwell; marry; ho: be inhabited, be made to dwell; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","sit, dwell, inhabit","be inhabited","set up",,,"cause to sit, cause to dwell; marry","be inhabited, be made to dwell",,,,,,,,,
"sec0207",42,1075,1653,"DWD==/","דָּוִד III",,,,,", , , ",,"nmpr",,"David",,,,"Mitchel_Sec1.B (2199-1000)",,"David","David",,"done",,,,,,,,,,,,,,,,
"sec0203",43,1068,502,">M","אִם ",,,,,", , , ",,"conj",,"if; when",,,,"Mitchel_Sec1.B (2199-1000)",,"if; then; when","if; then; when",,"done",,,,,,,,,,,,,,,,
"sec0214",44,1068,3209,"JY>[","יצא ","i-waw",,"iii-aleph",,"i-waw, , iii-aleph, ","i-waw, iii-aleph","verb","hif hof qal","go out, go forth",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: go out, go forth; hi: bring; ho: be brought forth;","qal: go out, go forth; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: bring; ho: be brought forth; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","go out, go forth",,,,,"bring","be brought forth",,,,,,,,,
"sec0210",45,1060,1904,"HNH","הִנֵּה I",,,,,", , , ",,"intj",,"behold",,,,"Mitchel_Sec1.B (2199-1000)",,"behold, look, lo (intj)","behold, look, lo (intj)",,"done",,,,,,,,,,,,,,,,
"sec0220",46,1049,5839,"<M","עִם ",,,,,", , , ",,"prep",,"(together) with; just as",,,,"Mitchel_Sec1.B (2199-1000)",,"with; (together) with; just as","with; (together) with; just as",,"done",,,,,,,,,,,,,,,,
"sec0224",47,1037,7606,"CWB[","שׁוב I",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif hof piel qal","return; do again",,,,"Mitchel_Sec1.B (2199-1000)",,,"qal: turn, return, repeat; pi: bring back; seduce; restore; hi: bring back; ho: be brought back;","qal: turn, return, repeat; qal pass: ; ni: ; pi: bring back; seduce; restore; pu: ; hit: ; hi: bring back; ho: be brought back; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","turn, return, repeat",,"bring back; seduce; restore",,,"bring back","be brought back",,,,,,,,,
"sec0202",48,970,249,">XD/","אֶחָד ",,,,,", , , ",,"subs",,"one, once",,,,"Mitchel_Sec1.C (999-730)",,"one, once","one, once",,"done",,,,,,,,,,,,,,,,
"sec0216",49,965,3833,"LQX[","לקח ","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","hit hof nif pasq pual qal","take, grasp, seize",,,,"Mitchel_Sec1.C (999-730)",,,"qal: take, grasp, seize; qal pass: take, grasp, seize; ni: be taken, be carried away; pu: be taken, be brought; hit: be taken hither and thither; ho: be taken away;","qal: take, grasp, seize; qal pass: take, grasp, seize; ni: be taken, be carried away; pi: ; pu: be taken, be brought; hit: be taken hither and thither; hi: ; ho: be taken away; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","take, grasp, seize","be taken, be carried away",,"be taken, be brought","be taken hither and thither",,"be taken away",,"take, grasp, seize",,,,,,,
"sec0213",50,944,2949,"JD<[","ידע ","i-waw",,"iii-guttural",,"i-waw, , iii-guttural, ","i-waw, iii-guttural","verb","hif hit hof nif piel pual qal","know, learn, observe",,,,"Mitchel_Sec1.C (999-730)",,,"qal: know; notice; learn; ni: make oneself known; be, become known; pi: cause to know; pu: be known; acquaintance; hit: make oneself known; hi: cause to know, make known; ho: be made known; poa: let know, inform;","qal: know; notice; learn; qal pass: ; ni: make oneself known; be, become known; pi: cause to know; pu: be known; acquaintance; hit: make oneself known; hi: cause to know, make known; ho: be made known; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: let know, inform; poe: .","Q=1","know; notice; learn","make oneself known; be, become known","cause to know","be known; acquaintance","make oneself known","cause to know, make known","be made known",,,,,,,,"let know, inform",
"sec0319",51,890,5803,"<LH[","עלה ","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","hif hit hof nif qal","go up; go away from; go up against; seize upon",,,,"Mitchel_Sec1.C (999-730)",,,"qal: go up; ni: be taken up, be exalted; withdraw; be talked about; hit: lift oneself up; hi: bring; ho: be sacrificed, carried away; be inserted;","qal: go up; qal pass: ; ni: be taken up, be exalted; withdraw; be talked about; pi: ; pu: ; hit: lift oneself up; hi: bring; ho: be sacrificed, carried away; be inserted; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","go up","be taken up, be exalted; withdraw; be talked about",,,"lift oneself up","bring","be sacrificed, carried away; be inserted",,,,,,,,,
"sec0318",52,887,5742,"<JN/","עַיִן I",,,,,", , , ",,"subs",,"eye; look; spring",,,,"Mitchel_Sec1.C (999-730)",,"eye; fountain","eye; fountain",,"done",,,,,,,,,,,,,,,,
"sec0324",53,876,8002,"CNH/","שָׁנָה I",,,,,", , , ",,"subs",,"year",,,,"Mitchel_Sec1.C (999-730)",,"year","year",,"done",,,,,,,,,,,,,,,,
"sec0306",54,874,572,">NJ","אֲנִי ",,,,,", , , ",,"prps",,"I",,,,"Mitchel_Sec1.B (2199-1000)",,"I","I",,"done",,,,,,,,,,,,,,,,
"sec0322",55,864,7902,"CM/","שֵׁם I",,,,,", , , ",,"subs",,"name",,,,"Mitchel_Sec1.C (999-730)",,"name","name",,"done",,,,,,,,,,,,,,,,
"sec0308",56,849,817,">T==","אֵת III",,,,,", , , ",,"prep",,"together with",,,,"Mitchel_Sec1.C (999-730)",,"with, beside (prep)","with, beside (prep)",,"done",,,,,,,,,,,,,,,,
"sec0321",57,847,7842,"CLX[","שׁלח ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","hif nif piel pual qal","let loose; stretch out; send",,,,"Mitchel_Sec1.C (999-730)",,,"qal: send; ni: be sent; pi: let go; stretch out; send; pu: be let loose, sent, forsaken; hi: let loose upon;","qal: send; qal pass: ; ni: be sent; pi: let go; stretch out; send; pu: be let loose, sent, forsaken; hit: ; hi: let loose upon; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","send","be sent","let go; stretch out; send","be let loose, sent, forsaken",,"let loose upon",,,,,,,,,,
"sec0314",58,835,4056,"MWT[","מות ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif hof piel qal","die",,,,"Mitchel_Sec1.C (999-730)",,,"qal: die; pi: kill; hi: kill, put to death; ho: be killed, be put to death;","qal: die; qal pass: ; ni: ; pi: kill; pu: ; hit: ; hi: kill, put to death; ho: be killed, be put to death; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","die",,"kill",,,"kill, put to death","be killed, be put to death",,,,,,,,,
"sec0323",59,834,7901,"CM","שָׁם ",,,,,", , , ",,"advb",,"there, then",,,,"Mitchel_Sec1.C (999-730)",,"there","there",,"done",,,,,,,,,,,,,,,,
"sec0312",60,819,2961,"JHWDH/","יְהוּדָה ",,,,,", , , ",,"nmpr",,"Judah",,,,"Mitchel_Sec1.C (999-730)",,"Judah","Judah",,"done",,,,,,,,,,,,,,,,
"sec0303",61,810,385,">KL[","אכל ","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","hif nif pasq pual qal","eat",,,,"Mitchel_Sec1.C (999-730)",,,"qal: eat, devour; qal pass: eat; ni: be eaten; pu: be consumed; hi: feed;","qal: eat, devour; qal pass: eat; ni: be eaten; pi: ; pu: be consumed; hit: ; hi: feed; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","eat, devour","be eaten",,"be consumed",,"feed",,,"eat",,,,,,,
"sec0317",62,800,5510,"<BD/","עֶבֶד I",,,,,", , , ",,"subs",,"slave, servant",,,,"Mitchel_Sec1.C (999-730)",,"slave, servant","slave, servant",,"done",,,,,,,,,,,,,,,,
"sec0302",63,788,359,">JN/","אַיִן ",,,,,", , , ",,"subs",,"non-existence; there is not",,,,"Mitchel_Sec1.C (999-730)",,"non-existence; there is not","non-existence; there is not",,"done",,,,,,,,,,,,,,,,
"sec0307",64,781,761,">CH/","אִשָּׁה I",,,,,", , , ",,"subs",,"woman; each woman",,,,"Mitchel_Sec1.C (999-730)",,"woman; each woman","woman; each woman",,"done",,,,,,,,,,,,,,,,
"sec0310",65,769,1496,"GM","גַּם ",,,,,", , , ",,"advb",,"also, even, too",,,,"Mitchel_Sec1.C (999-730)",,"also, indeed, too","also, indeed, too",,"done",,,,,,,,,,,,,,,,
"sec0325",66,768,8009,"CNJM/","שְׁנַיִם ",,,,,", , , ",,"subs",,"two",,,,"Mitchel_Sec1.C (999-730)",,"two","two",,"done",,,,,,,,,,,,,,,,
"sec0315",67,766,4747,"MCH=/","מֹשֶׁה II",,,,,", , , ",,"nmpr",,"Moses",,,,"Mitchel_Sec1.C (999-730)",,"Moses","Moses",,"done",,,,,,,,,,,,,,,,
"sec0316",68,754,5177,"NPC/","נֶפֶשׁ ",,,,,", , , ",,"subs",,"throat, soul, living being",,,,"Mitchel_Sec1.C (999-730)",,"soul, living being, life, self; throat","soul, living being, life, self; throat",,"done",,,,,,,,,,,,,,,,
"sec0313",69,750,3432,"KHN/","כֹּהֵן ",,,,,", , , ",,"subs",,"priest",,,,"Mitchel_Sec1.C (999-730)",,"priest","priest",,"done",,,,,,,,,,,,,,,,
"sec0309",70,747,819,">TH","אַתָּה ",,,,,", , , ",,"prps",,"you",,,,"Mitchel_Sec1.C (999-730)",,"you","you",,"done",,,,,,,,,,,,,,,,
"sec0305",71,746,404,">LH","אֵלֶּה ",,,,,", , , ",,"prde",,"these",,,,"Mitchel_Sec1.C (999-730)",,"these","these",,"done",,,,,,,,,,,,,,,,
"sec0311",72,743,1794,"H=","הֲ II",,,,,", , , ",,"inrg",,"<interrogative>",,,,"Mitchel_Sec1.A (50273-2200)",,"<IH>, interrogative He","<IH>, interrogative He",,"done",,,,,,,,,,,,,,,,
"sec0320",73,732,7020,"QR>[","קרא I",,"ii-guttural","iii-aleph",,", ii-guttural, iii-aleph, ","ii-guttural, iii-aleph","verb","nif pual qal","call, cry; invite; proclaim; read aloud",,,,"Mitchel_Sec1.C (999-730)",,,"qal: call, meet; read (aloud); ni: be called; mentioned; proclaimed; read aloud; pu: be called;","qal: call, meet; read (aloud); qal pass: ; ni: be called; mentioned; proclaimed; read aloud; pi: ; pu: be called; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","call, meet; read (aloud)","be called; mentioned; proclaimed; read aloud",,"be called",,,,,,,,,,,,
"sec0304",74,726,394,">L=","אַל II",,,,,", , , ",,"nega",,"not",,,,"Mitchel_Sec1.C (999-730)",,"no, not","no, not",,"done",,,,,,,,,,,,,,,,
"sec0301",75,715,301,">XR/","אַחַר I",,,,,", , , ",,"subs",,"back side; after; behind",,,,"Mitchel_Sec1.D (729-500)",,"behind, after; back side","behind, after; back side",,"done",,,,,,,,,,,,,,,,
"sec0406",76,706,1778,"DRK/","דֶּרֶךְ ",,,,,", , , ",,"subs",,"way",,,,"Mitchel_Sec1.D (729-500)",,"way, road, journey; custom (ext)","way, road, journey; custom (ext)",,"done",,,,,,,,,,,,,,,,
"sec0417",77,681,4589,"MYRJM/","מִצְרַיִם ",,,,,", , , ",,"nmpr",,"Egypt",,,,"Mitchel_Sec1.D (729-500)",,"Egypt","Egypt",,"done",,,,,,,,,,,,,,,,
"sec0418",78,653,5237,"NF>[","נשׂא ","i-nun",,"iii-aleph",,"i-nun, , iii-aleph, ","i-nun, iii-aleph","verb","hif hit nif piel qal","lift, carry",,,,"Mitchel_Sec1.D (729-500)",,,"qal: lift up, bear, carry; ni: be lifted, carried; pi: lift up, carry, assist; hit: lift oneself up; hi: cause to carry, cause to bring;","qal: lift up, bear, carry; qal pass: ; ni: be lifted, carried; pi: lift up, carry, assist; pu: ; hit: lift oneself up; hi: cause to carry, cause to bring; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","lift up, bear, carry","be lifted, carried","lift up, carry, assist",,"lift oneself up","cause to carry, cause to bring",,,,,,,,,,
"sec0410",79,643,3275,"JRWCLM/","יְרוּשָׁלִַם ",,,,,", , , ",,"nmpr",,"Jerusalem",,,,"Mitchel_Sec1.D (729-500)",,"Jerusalem","Jerusalem",,"done",,,,,,,,,,,,,,,,
"sec0402",80,629,244,">X/","אָח I",,,,,", , , ",,"subs",,"brother",,,,"Mitchel_Sec1.D (729-500)",,"brother","brother",,"done",,,,,,,,,,,,,,,,
"sec0421",81,629,6858,"QWM[","קום ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif hit hof piel qal","stand up, remain standing",,,,"Mitchel_Sec1.D (729-500)",,,"qal: rise, stand up; pi: establish, confirm; hit: rebel; hi: raise up; carry out; cause to rise; ho: be raised up; be carried out;","qal: rise, stand up; qal pass: ; ni: ; pi: establish, confirm; pu: ; hit: rebel; hi: raise up; carry out; cause to rise; ho: be raised up; be carried out; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","rise, stand up",,"establish, confirm",,"rebel","raise up; carry out; cause to rise","be raised up; be carried out",,,,,,,,,
"sec0408",82,604,1966,"Z>T","זֹאת ",,,,,", , , ",,"prde",,"this",,,,"Mitchel_Sec1.B (2199-1000)",,"this","this",,"done",,,,,,,,,,,,,,,,
"sec0424",83,602,7894,"CLC/","שָׁלֹשׁ I",,,,,", , , ",,"subs",,"three",,,,"Mitchel_Sec1.D (729-500)",,"three","three",,"done",,,,,,,,,,,,,,,,
"sec0413",84,601,3692,"LB/","לֵב ",,,,,", , , ",,"subs",,"heart, the inner",,,,"Mitchel_Sec1.C (999-730)",,"heart, the inner","heart, the inner",,"done",,,,,,,,,,,,,,,,
"sec0422",85,599,7112,"R>C/","רֹאשׁ I",,,,,", , , ",,"subs",,"head, top; beginning; best; chief; sum; division","Body Parts",,,"Mitchel_Sec1.D (729-500)",,"head, top; beginning; best; chief; sum; division","head, top; beginning; best; chief; sum; division",,"done",,,,,,,,,,,,,,,,
