"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
"sec0113",1,50273,1955,"W","וְ",,,,,"conj",,"and",,,,"Mitchel_Sec1.A (50273-2200)",,"and; also, even (pref conj)","e","and; also, even (conj); but","e","and; also, even (conj); but",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0111",2,30380,1796,"H","הַ",,,,,"art",,"the","o, a, os, as",,,"Mitchel_Sec1.A (50273-2200)",,,,"the (art)","o, a, os, as","the (art)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0120",3,20069,3685,"L","לְ",,,,,"prep",,"to, in regard to, for",,,,"Mitchel_Sec1.A (50273-2200)",,"to, toward (pref prep); Do! Yes! (voc)","para, no que diz respeito","to, toward (prep); Do, Yes, (voc); in regard to, for","para, no que diz respeito","to, toward (prep); Do, Yes, (voc); in regard to, for",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0108",4,15541,833,"B","בְּ",,,,,"prep",,"in, at (time, place); with; by; by means of","dentro de, em, com, por",,,"Mitchel_Sec1.A (50273-2200)",,,,"in, at (time, place); with; by; by means of","dentro de, em, com, por","in, at (time, place); with; by; by means of",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0107",5,11019,813,">T","אֵת",,,,,"prep",,"<object marker>",,,,"Mitchel_Sec1.A (50273-2200)",,"object marker","em, com","<OM>; object marker","em, com","<OM>; object marker",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0123",6,7561,4343,"MN","מִן",,,,,"prep",,"from, out of",,,,"Mitchel_Sec1.B (2199-1000)",,"from, out of, part of, because of (prep); than (comp)","de, desde","from, out of, part of, because of (prep); than (comp)","de, desde","from, out of, part of, because of (prep); than (comp)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0114",7,6828,2967,"JHWH/","יְהוָה",,,,,"nmpr",,"the Lord, Yhwh","SENHOR",,,"Mitchel_Sec1.A (50273-2200)",,,,"YHWH, LORD","SENHOR","YHWH, LORD",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0124",8,5765,5795,"<L","עַל",,,,,"prep",,"upon, over; on account of; against, opposite to",,,,"Mitchel_Sec1.A (50273-2200)",,"on, upon, against, over (prep)","sobre, em cima","on, upon, against, over (prep); on account of; opposite to","sobre, em cima","on, upon, against, over (prep); on account of; opposite to",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0102",9,5517,396,">L","אֶל",,,,,"prep",,"towards",,,,"Mitchel_Sec1.A (50273-2200)",,"unto, toward (prep)","para, até","toward (prep), unto; towards","para, até","toward (prep), unto; towards",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0106",10,5500,798,">CR","אֲשֶׁר",,,,,"conj",,"that which; the one who(m)",,,,"Mitchel_Sec1.A (50273-2200)",,"who, which, that (rel pr)","quem, qual, cujo","who, which, that","quem, qual, cujo","who, which, that",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0119",11,5412,3487,"KL/","כֹּל",,,,,"subs",,"the whole, all",,,,"Mitchel_Sec1.A (50273-2200)",,"all, every","todo, totatlidade","all, every","todo, totatlidade","all, every",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0104",12,5307,544,">MR[","אמר","i-aleph",,,,"verb","hif nif qal","say, think",,,,"Mitchel_Sec1.A (50273-2200)",,,,"qal: say, think;","qal: falar; ","qal: say, think; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: falar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","say, think","falar",,,,,,,,,,,,,,,,,,,,
"sec0121",13,5167,3686,"L>","לֹא",,,,,"nega",,"not",,,,"Mitchel_Sec1.A (50273-2200)",,"no, not (neg)","não","not, no (neg)","não","not, no (neg)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0110",14,4937,1067,"BN/","בֵּן",,,,,"subs",,"son","filho",,,"Mitchel_Sec1.A (50273-2200)",,,,"son","filho","son",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0118",15,4483,3470,"KJ","כִּי",,,,,"conj",,"that, for, when; yea",,,,"Mitchel_Sec1.A (50273-2200)",,"because, for, that, when, but; indeed, truly (con)","porque, que, de modo que","for, because, that, when, but; indeed, truly (con); yea","porque, que, de modo que","for, because, that, when, but; indeed, truly (con); yea",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0112",16,3561,1867,"HJH[","היה","i-guttural",,"iii-hey",,"verb","nif qal","be, become, occur",,,,"Mitchel_Sec1.A (50273-2200)",,,,"qal: be, happen, become, occur;","qal: ser; ","qal: be, happen, become, occur; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: ser; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be, happen, become, occur","ser",,,,,,,,,,,,,,,,,,,,
"sec0117",17,2902,3397,"K","כְּ",,,,,"prep",,"like, according to, even as, about, as soon as",,,,"Mitchel_Sec1.A (50273-2200)",,"as, like, (pref prep)","como, igual a","like, as, (prep); according to, as soon as","como, igual a","like, as, (prep); according to, as soon as",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0125",18,2629,6089,"<FH[","עשׂה","i-guttural",,"iii-hey",,"verb","nif piel pual qal","make, do; fix; deal with",,,,"Mitchel_Sec1.A (50273-2200)",,,,"qal: do, make; pi: press, squeeze;","qal: agir, proceder, atuar; pi: pressionar, apertar; ","qal: do, make; pi: press, squeeze; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: agir, proceder, atuar; pi: pressionar, apertar; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","do, make","agir, proceder, atuar",,,"press, squeeze","pressionar, apertar",,,,,,,,,,,,,,,,
"sec0103",19,2601,413,">LHJM/","אֱלֹהִים",,,,,"subs",,"god; gods; God",,,,"Mitchel_Sec1.A (50273-2200)",,"God; gods; god","Deus","God; gods; god","Deus","God; gods; god",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0109",20,2570,888,"BW>[","בוא",,,"iii-aleph","ii-waw","verb","hif hof qal","enter; come, arrive",,,,"Mitchel_Sec1.A (50273-2200)",,,,"qal: come, enter, go in;","qal: entrar; ","qal: come, enter, go in; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: entrar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","come, enter, go in","entrar",,,,,,,,,,,,,,,,,,,,
"sec0122",21,2523,4292,"MLK/","מֶלֶךְ",,,,,"subs",,"king","rei",,,"Mitchel_Sec1.A (50273-2200)",,,,"king","rei","king",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0116",22,2506,3370,"JFR>L/","יִשְׂרָאֵל",,,,,"nmpr",,"Israel","Israel",,,"Mitchel_Sec1.A (50273-2200)",,,,"Israel","Israel","Israel",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0105",23,2504,741,">RY/","אֶרֶץ",,,,,"subs",,"land; territory, country; the earth",,,,"Mitchel_Sec1.A (50273-2200)",,"earth; land","terra","earth; land, territory","terra","earth; land, territory",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0115",24,2304,3012,"JWM/","יֹום",,,,,"subs",,"day; that day","dia",,,"Mitchel_Sec1.A (50273-2200)",,,,"day","dia","day",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0101",25,2186,366,">JC/","אִישׁ",,,,,"subs",,"man; human being; somebody; each one","homem, ser humano",,,"Mitchel_Sec1.B (2199-1000)",,,,"man; human being; somebody; each one","homem, ser humano","man; human being; somebody; each one",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0222",26,2127,6317,"PNH/","פָּנֶה",,,,,"subs",,"face; surface; front","erguer o rosto para, mostrar favor a",,,"Mitchel_Sec1.B (2199-1000)",,,,"face; surface; front","erguer o rosto para, mostrar favor a","face; surface; front",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0204",27,2063,956,"BJT/","בַּיִת",,,,,"subs",,"house; family; interior","casa",,,"Mitchel_Sec1.B (2199-1000)",,,,"house; family","casa","house; family",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0217",28,2010,5270,"NTN[","נתן","i-nun",,,,"verb","hof nif qal","give, put, set",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: give, place;","qal: dar, pôr; ","qal: give, place; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: dar, pôr; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","give, place","dar, pôr",,,,,,,,,,,,,,,,,,,,
"sec0221",29,1866,5839,"<M/","עַם",,,,,"subs",,"people; kinship; relative","povo",,,"Mitchel_Sec1.B (2199-1000)",,,,"people; kinship; relative","povo","people; kinship; relative",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0212",30,1618,2930,"JD/","יָד",,,,,"subs",,"hand, side, place, power, monument","mão",,,"Mitchel_Sec1.B (2199-1000)",,,,"hand, power, monument","mão","hand, power, monument",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0209",31,1547,1881,"HLK[","הלך","i-waw",,,,"verb","hif hit nif piel qal","go, walk",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: go, walk;","qal: ir; ","qal: go, walk; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: ir; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","go, walk","ir",,,,,,,,,,,,,,,,,,,,
"sec0206",32,1441,1621,"DBR/","דָּבָר",,,,,"subs",,"word, deed, thing",,,,"Mitchel_Sec1.B (2199-1000)",,"word; thing, matter","palavra","word; thing, matter; deed","palavra","word; thing, matter; deed",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0208",33,1394,1837,"HW>","הוּא",,,,,"prps",,"he","ele",,,"Mitchel_Sec1.B (2199-1000)",,,,"he","ele","he",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0223",34,1298,7094,"R>H[","ראה","i-guttural","ii-guttural","iii-hey",,"verb","hif hit hof nif pual qal","see; get to know; look at; choose",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: see; get to know; look at; choose;","qal: ver, examinar; ","qal: see; get to know; look at; choose; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: ver, examinar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","see; get to know; look at; choose","ver, examinar",,,,,,,,,,,,,,,,,,,,
"sec0218",35,1259,5569,"<D","עַד",,,,,"prep",,"as far as, until; while",,,,"Mitchel_Sec1.B (2199-1000)",,"(prep) to, unto, as far as (spacial); until, while (temporal)","até quando?","to (prep), unto, as far as (spacial); until, while (temporal)","até quando?","to (prep), unto, as far as (spacial); until, while (temporal)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0201",36,1215,2,">B/","אָב",,,,,"subs",,"father","pai",,,"Mitchel_Sec1.B (2199-1000)",,,,"father","pai","father",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0211",37,1178,1991,"ZH","זֶה",,,,,"prde",,"this","este",,,"Mitchel_Sec1.B (2199-1000)",,,,"this","este","this",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0225",38,1159,7948,"CM<[","שׁמע",,,"iii-guttural",,"verb","hif nif piel qal","hear, listen to",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: hear; give ear to, obey;","qal: ouvir, escutar; ","qal: hear; give ear to, obey; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: ouvir, escutar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","hear; give ear to, obey","ouvir, escutar",,,,,,,,,,,,,,,,,,,,
"sec0205",39,1138,1616,"DBR[","דבר",,,,,"verb","hit nif piel pual qal","speak",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: speak;","qal: falar; ","qal: speak; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: falar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","speak","falar",,,,,,,,,,,,,,,,,,,,
"sec0219",40,1090,5766,"<JR/","עִיר",,,,,"subs",,"town; quarter of a town",,,,"Mitchel_Sec1.B (2199-1000)",,"city","cidade","city","cidade","city",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0215",41,1081,3316,"JCB[","ישׁב","i-waw",,,,"verb","hif hof nif piel qal","sit, sit down, dwell, be inhabited",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: sit, dwell, inhabit;","qal: sentar-se, acocorar-se; ","qal: sit, dwell, inhabit; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: sentar-se, acocorar-se; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","sit, dwell, inhabit","sentar-se, acocorar-se",,,,,,,,,,,,,,,,,,,,
"sec0207",42,1075,1652,"DWD==/","דָּוִד",,,,,"nmpr",,"David","Davi",,,"Mitchel_Sec1.B (2199-1000)",,,,"David","Davi","David",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0203",43,1068,503,">M","אִם",,,,,"conj",,"if; when",,,,"Mitchel_Sec1.B (2199-1000)",,"if; then","se, então","if; then; when","se, então","if; then; when",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0214",44,1068,3211,"JY>[","יצא","i-waw",,"iii-aleph",,"verb","hif hof qal","go out, go forth",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: go out, go forth; hi: bring;","qal: sair, retirar-se; hi: tirar; ","qal: go out, go forth; ni: ; pi: ; pu: ; hit: ; hi: bring; ho: ; hst: ","qal: sair, retirar-se; ni: ; pi: ; pu: ; hit: ; hi: tirar; ho: ; hst: ","Q=1","go out, go forth","sair, retirar-se",,,,,,,,,"bring","tirar",,,,,,,,,,
"sec0210",45,1060,1906,"HNH","הִנֵּה",,,,,"intj",,"behold",,,,"Mitchel_Sec1.B (2199-1000)",,"behold!, lo!","eis aqui","behold, look, lo (intj)","eis aqui","behold, look, lo (intj)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0220",46,1049,5838,"<M","עִם",,,,,"prep",,"(together) with; just as","com, junto de",,,"Mitchel_Sec1.B (2199-1000)",,,,"with; (together) with; just as","com, junto de","with; (together) with; just as",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0224",47,1037,7602,"CWB[","שׁוב",,,,"ii-waw","verb","hif hof piel qal","return; do again",,,,"Mitchel_Sec1.B (2199-1000)",,,,"qal: turn, return, repeat;","qal: voltar, volver; ","qal: turn, return, repeat; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: voltar, volver; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","turn, return, repeat","voltar, volver",,,,,,,,,,,,,,,,,,,,
"sec0202",48,970,252,">XD/","אֶחָד",,,,,"subs",,"one, once","um",,,"Mitchel_Sec1.C (999-730)",,,,"one, once","um","one, once",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0216",49,965,3834,"LQX[","לקח","i-nun",,"iii-guttural",,"verb","hit hof nif pasq pual qal","take, grasp, seize",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: take, grasp, seize;","qal: tomar, agarrar, pegar; ","qal: take, grasp, seize; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: tomar, agarrar, pegar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","take, grasp, seize","tomar, agarrar, pegar",,,,,,,,,,,,,,,,,,,,
"sec0213",50,944,2950,"JD<[","ידע","i-waw",,"iii-guttural",,"verb","hif hit hof nif piel pual qal","know, learn, observe",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: know; notice; learn;","qal: saber, conhecer; ","qal: know; notice; learn; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: saber, conhecer; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","know; notice; learn","saber, conhecer",,,,,,,,,,,,,,,,,,,,
"sec0319",51,890,5800,"<LH[","עלה","i-guttural",,"iii-hey",,"verb","hif hit hof nif qal","go up; go away from; go up against; seize upon",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: go up; hi: bring;","qal: subir; hi: elevar, levar; ","qal: go up; ni: ; pi: ; pu: ; hit: ; hi: bring; ho: ; hst: ","qal: subir; ni: ; pi: ; pu: ; hit: ; hi: elevar, levar; ho: ; hst: ","Q=1","go up","subir",,,,,,,,,"bring","elevar, levar",,,,,,,,,,
"sec0318",52,887,5742,"<JN/","עַיִן",,,,,"subs",,"eye; look; spring",,,,"Mitchel_Sec1.C (999-730)",,"eye; fountain","olho, fonte","eye; fountain","olho, fonte","eye; fountain",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0324",53,876,8002,"CNH/","שָׁנָה",,,,,"subs",,"year","ano",,,"Mitchel_Sec1.C (999-730)",,,,"year","ano","year",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0306",54,874,572,">NJ","אֲנִי",,,,,"prps",,"I","Eu",,,"Mitchel_Sec1.B (2199-1000)",,,,"I","Eu","I",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0322",55,864,7899,"CM/","שֵׁם",,,,,"subs",,"name","nome",,,"Mitchel_Sec1.C (999-730)",,,,"name","nome","name",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0321",56,847,7836,"CLX[","שׁלח",,,"iii-guttural",,"verb","hif nif piel pual qal","let loose; stretch out; send",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: send;","qal: mandar, enviar; ","qal: send; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: mandar, enviar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","send","mandar, enviar",,,,,,,,,,,,,,,,,,,,
"sec0308",57,846,814,">T==","אֵת",,,,,"prep",,"together with",,,,"Mitchel_Sec1.C (999-730)",,"with, beside (prep)","com, ao lado de","with, beside (prep)","com, ao lado de","with, beside (prep)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0314",58,835,4058,"MWT[","מות",,,,"ii-waw","verb","hif hof piel qal","die",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: die;","qal: morrer; ","qal: die; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: morrer; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","die","morrer",,,,,,,,,,,,,,,,,,,,
"sec0323",59,834,7901,"CM","שָׁם",,,,,"advb",,"there, then","aí, ali",,,"Mitchel_Sec1.C (999-730)",,,,"there","aí, ali","there",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0312",60,819,2963,"JHWDH/","יְהוּדָה",,,,,"nmpr",,"Judah","Judá",,,"Mitchel_Sec1.C (999-730)",,,,"Judah","Judá","Judah",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0303",61,810,384,">KL[","אכל","i-aleph",,,,"verb","hif nif pasq pual qal","eat",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: eat, devour;","qal: comer; ","qal: eat, devour; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: comer; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","eat, devour","comer",,,,,,,,,,,,,,,,,,,,
"sec0317",62,800,5512,"<BD/","עֶבֶד",,,,,"subs",,"slave, servant","servo, escravo",,,"Mitchel_Sec1.C (999-730)",,,,"slave, servant","servo, escravo","slave, servant",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0302",63,788,360,">JN/","אַיִן",,,,,"subs",,"non-existence; there is not",,,,"Mitchel_Sec1.C (999-730)",,"there is/are not, non-existence","não há, nulidade","non-existence; there is not","não há, nulidade","non-existence; there is not",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0307",64,781,762,">CH/","אִשָּׁה",,,,,"subs",,"woman; each woman","mulher",,,"Mitchel_Sec1.C (999-730)",,,,"woman; each woman","mulher","woman; each woman",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0310",65,769,1497,"GM","גַּם",,,,,"advb",,"also, even, too",,,,"Mitchel_Sec1.C (999-730)",,"also, indeed","de fato","also, indeed, too","de fato","also, indeed, too",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0325",66,768,8007,"CNJM/","שְׁנַיִם",,,,,"subs",,"two","dois",,,"Mitchel_Sec1.C (999-730)",,,,"two","dois","two",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0315",67,766,4748,"MCH=/","מֹשֶׁה",,,,,"nmpr",,"Moses","Moisés",,,"Mitchel_Sec1.C (999-730)",,,,"Moses","Moisés","Moses",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0316",68,754,5178,"NPC/","נֶפֶשׁ",,,,,"subs",,"throat, soul, living being",,,,"Mitchel_Sec1.C (999-730)",,"life, self; throat; living being","alma, garganta, ser","soul, living being, life, self; throat","alma, garganta, ser","soul, living being, life, self; throat",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0313",69,750,3435,"KHN/","כֹּהֵן",,,,,"subs",,"priest","sacerdote",,,"Mitchel_Sec1.C (999-730)",,,,"priest","sacerdote","priest",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0309",70,747,819,">TH","אַתָּה",,,,,"prps",,"you","você",,,"Mitchel_Sec1.C (999-730)",,,,"you","você","you",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0305",71,746,410,">LH","אֵלֶּה",,,,,"prde",,"these","estes, estas",,,"Mitchel_Sec1.C (999-730)",,,,"these","estes, estas","these",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0311",72,743,1795,"H=","הֲ",,,,,"inrg",,"<interrogative>",,,,"Mitchel_Sec1.A (50273-2200)",,"interrogative He","por acaso","<IH>, interrogative He","por acaso","<IH>, interrogative He",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0320",73,732,7014,"QR>[","קרא",,"ii-guttural","iii-aleph",,"verb","nif pual qal","call, cry; invite; proclaim; read aloud",,,,"Mitchel_Sec1.C (999-730)",,,,"qal: call, meet; read (aloud);","qal: chamar, avisar, convocar; ","qal: call, meet; read (aloud); ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: chamar, avisar, convocar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","call, meet; read (aloud)","chamar, avisar, convocar",,,,,,,,,,,,,,,,,,,,
"sec0304",74,726,397,">L=","אַל",,,,,"nega",,"not",,,,"Mitchel_Sec1.C (999-730)",,"no, not","não","no, not","não","no, not",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0301",75,715,306,">XR/","אַחַר",,,,,"subs",,"back side; after; behind",,,,"Mitchel_Sec1.D (729-500)",,"behind, after","atrás, depois","behind, after; back side","atrás, depois","behind, after; back side",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0406",76,706,1781,"DRK/","דֶּרֶךְ",,,,,"subs",,"way",,,,"Mitchel_Sec1.D (729-500)",,"way, road, journey; coustom (ext)","caminho","way, road, journey; custom (ext)","caminho","way, road, journey; custom (ext)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0417",77,681,4590,"MYRJM/","מִצְרַיִם",,,,,"nmpr",,"Egypt","Egito",,,"Mitchel_Sec1.D (729-500)",,,,"Egypt","Egito","Egypt",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0418",78,653,5235,"NF>[","נשׂא","i-nun",,"iii-aleph",,"verb","hif hit nif piel qal","lift, carry",,,,"Mitchel_Sec1.D (729-500)",,,,"qal: lift up, bear, carry;","qal: levantar, erguer; ","qal: lift up, bear, carry; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: levantar, erguer; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","lift up, bear, carry","levantar, erguer",,,,,,,,,,,,,,,,,,,,
"sec0410",79,643,3277,"JRWCLM/","יְרוּשָׁלִַם",,,,,"nmpr",,"Jerusalem","Jerusalém",,,"Mitchel_Sec1.D (729-500)",,,,"Jerusalem","Jerusalém","Jerusalem",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0402",80,629,245,">X/","אָח",,,,,"subs",,"brother","irmão",,,"Mitchel_Sec1.D (729-500)",,,,"brother","irmão","brother",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0421",81,629,6855,"QWM[","קום",,,,"ii-waw","verb","hif hit hof piel qal","stand up, remain standing",,,,"Mitchel_Sec1.D (729-500)",,,,"qal: rise, stand up;","qal: levantar-se; ","qal: rise, stand up; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: levantar-se; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","rise, stand up","levantar-se",,,,,,,,,,,,,,,,,,,,
"sec0408",82,604,1967,"Z>T","זֹאת",,,,,"prde",,"this","este",,,"Mitchel_Sec1.B (2199-1000)",,,,"this","este","this",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0424",83,602,7894,"CLC/","שָׁלֹשׁ",,,,,"subs",,"three","três",,,"Mitchel_Sec1.D (729-500)",,,,"three","três","three",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0413",84,601,3695,"LB/","לֵב",,,,,"subs",,"heart, the inner","coração",,,"Mitchel_Sec1.C (999-730)",,,,"heart, the inner","coração","heart, the inner",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0422",85,599,7110,"R>C/","רֹאשׁ",,,,,"subs",,"head, top; beginning; best; chief; sum; division","cabeça, o primeiro, superior",,,"Mitchel_Sec1.D (729-500)",,,,"head, top; beginning; best; chief; sum; division","cabeça, o primeiro, superior","head, top; beginning; best; chief; sum; division",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0403",86,588,1259,"BT/","בַּת",,,,,"subs",,"daughter","filha",,,"Mitchel_Sec1.D (729-500)",,,,"daughter","filha","daughter",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0423",87,583,7760,"FJM[","שׂים",,,,"ii-yod","verb","hif hof qal","set, put",,,,"Mitchel_Sec1.D (729-500)",,,,"qal: set, place;","qal: pôr, colocar algo; ","qal: set, place; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: pôr, colocar algo; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","set, place","pôr, colocar algo",,,,,,,,,,,,,,,,,,,,
"sec0416",88,582,4191,"MJM/","מַיִם",,,,,"subs",,"water, waters","águas",,,"Mitchel_Sec1.D (729-500)",,,,"water, waters","águas","water, waters",,"done",,,,,,,,,,,,,,,,,,,,,,
