"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,1439,21,5900,"<NW/","עָנָו",,,,,"adjv",,"poor, humble, meek","pobre, humilde",,,"Mitchel_Sec5.Q (21)",,,,"poor, humble, meek","pobre, humilde","poor, humble, meek",,"done",,,,,,,,,,,,,,,,,,,,,,
,1440,21,6421,"PRSH/","פַּרְסָה",,,,,"subs",,"divided hoof; hoof","úngula, casco",,,"Mitchel_Sec5.Q (21)",,,,"divided hoof; hoof","úngula, casco","divided hoof; hoof",,"done",,,,,,,,,,,,,,,,,,,,,,
,1441,21,6560,"YWM[","צום",,,,"ii-waw","verb","qal","fast",,,,"Mitchel_Sec5.Q (21)",,,,"qal: fast;","qal: XXX; ","qal: fast; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","fast","XXX",,,,,,,,,,,,,,,,,,,,
,1442,21,6705,"Y<QH/","צְעָקָה",,,,,"subs",,"crying, cry",,,,"Mitchel_Sec5.Q (21)",,"(n) cry, call for help","grito, clamor","cry, call for help","grito, clamor","cry, call for help",,"done",,,,,,,,,,,,,,,,,,,,,,
,1443,21,6916,"QJC/","קִישׁ",,,,,"nmpr",,"Kish","Quis",,,"Mitchel_Sec5.Q (21)",,,,"Kish","Quis","Kish",,"done",,,,,,,,,,,,,,,,,,,,,,
,1444,21,7215,"RXB/","רָחָב",,,,,"adjv",,"broad, wide","largura, espaço",,,"Mitchel_Sec5.Q (21)",,,,"broad, wide","largura, espaço","broad, wide",,"done",,,,,,,,,,,,,,,,,,,,,,
,1445,21,7546,"CBR=[","שׁבר",,,,,"verb","hif qal","buy grain",,,,"Mitchel_Sec5.Q (21)",,,,"qal: buy grain;","qal: XXX; ","qal: buy grain; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","buy grain","XXX",,,,,,,,,,,,,,,,,,,,
,1446,21,7563,"CGH[","שׁגה",,,"iii-hey",,"verb","hif qal","err, stray; swerve",,,,"Mitchel_Sec5.Q (21)",,,,"qal: err, stray; swerve;","qal: XXX; ","qal: err, stray; swerve; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","err, stray; swerve","XXX",,,,,,,,,,,,,,,,,,,,
,1447,21,7575,"CD=/","שַׁד",,,,,"subs",,"breast","peito, seio",,,"Mitchel_Sec5.Q (21)",,,,"breast","peito, seio","breast",,"done",,,,,,,,,,,,,,,,,,,,,,
,1448,21,7645,"CW<[","שׁוע",,,"iii-guttural",,"verb","piel","cry for help",,,,"Mitchel_Sec5.P (22)",,,,"pi: cry for help;","pi: pedir auxílio, gritar; ","pi: cry for help; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: pedir auxílio, gritar; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3",,,,,"cry for help","pedir auxílio, gritar",,,,,,,,,,,,,,,,
,1449,21,7678,"CWCN=/","שׁוּשַׁן",,,,,"nmpr",,"Susa","Susã",,,"Mitchel_Sec5.U (17)",,,,"Susa","Susã","Susa",,"done",,,,,,,,,,,,,,,,,,,,,,
,1450,21,7682,"CZR[","שׁזר",,,,,"verb","hof","be twisted",,,,"Mitchel_Sec5.Q (21)",,,,"ho: be twisted;","ho: trançar, retorcer; ","ho: be twisted; qal: ; ni: ; pi: ; pu: ; hit: ; hi: ; hst: ","ho: trançar, retorcer; qal: ; ni: ; pi: ; pu: ; hit: ; hi: ; hst: ","H=7",,,,,,,,,,,,,"be twisted","trançar, retorcer",,,,,,,,
,1451,21,7711,"CXQ/","שַׁחַק",,,,,"subs",,"dust; cloud",,,,"Mitchel_Sec5.Q (21)",,"dust, clouds of dust","nuvem de poeira","dust, clouds of dust","nuvem de poeira","dust, clouds of dust",,"done",,,,,,,,,,,,,,,,,,,,,,
,1452,21,7824,"CLH/","שִׁלֹה",,,,,"nmpr",,"Shiloh","Silóe",,,"Mitchel_Sec5.Q (21)",,,,"Shiloh","Silóe","Shiloh",,"done",,,,,,,,,,,,,,,,,,,,,,
,1453,21,7920,"FMX/","שָׂמֵחַ",,,,,"adjv",,"joyful",,,,"Mitchel_Sec5.Q (21)",,"joyful, glad","alegre","joyful, glad","alegre","joyful, glad",,"done",,,,,,,,,,,,,,,,,,,,,,
,1454,21,8240,"T>WH/","תַּאֲוָה",,,,,"subs",,"desire",,,,"Mitchel_Sec5.Q (21)",,"longing, desire","desejo, apetite","longing, desire","desejo, apetite","longing, desire",,"done",,,,,,,,,,,,,,,,,,,,,,
,1455,21,8401,"TMK[","תמך",,,,"regular","verb","nif qal","grasp, hold",,,,"Mitchel_Sec5.Q (21)",,,,"qal: grasp, hold;","qal: XXX; ","qal: grasp, hold; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","grasp, hold","XXX",,,,,,,,,,,,,,,,,,,,
,1456,20,291,">XJQM/","אֲחִיקָם",,,,,"nmpr",,"Ahikam","Airam",,,"Mitchel_Sec5.R (20)",,,,"Ahikam","Airam","Ahikam",,"done",,,,,,,,,,,,,,,,,,,,,,
,1457,20,297,">XJTPL/","אֲחִיתֹפֶל",,,,,"nmpr",,"Ahithophel","Aquitofel",,,"Mitchel_Sec5.R (20)",,,,"Ahithophel","Aquitofel","Ahithophel",,"done",,,,,,,,,,,,,,,,,,,,,,
,1458,20,442,">LJL/","אֱלִיל",,,,,"subs",,"worthlessness; idol",,,,"Mitchel_Sec5.R (20)",,"worthless; pagan gods","insignificante","worthless; pagan gods","insignificante","worthless; pagan gods",,"done",,,,,,,,,,,,,,,,,,,,,,
,1459,20,1001,"BJT_CMC/","בֵּית שֶׁמֶשׁ",,,,,"nmpr",,"Beth Shemesh","Bet-sames",,,"Mitchel_Sec5.R (20)",,,,"Beth Shemesh","Bet-sames","Beth Shemesh",,"done",,,,,,,,,,,,,,,,,,,,,,
,1460,20,1204,"BRWC/","בְּרֹושׁ",,,,,"subs",,"juniper","cipreste",,,"Mitchel_Sec5.R (20)",,,,"juniper","cipreste","juniper",,"done",,,,,,,,,,,,,,,,,,,,,,
,1461,20,2259,"XWC[","חושׁ","i-guttural",,,"ii-waw","verb","hif qal","haste, make haste",,,,"Mitchel_Sec5.Q (21)",,,,"qal: hurry;","qal: XXX; ","qal: hurry; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","hurry","XXX",,,,,,,,,,,,,,,,,,,,
,1462,20,2769,"XTN/","חָתָן",,,,,"subs",,"son-in-law; bridegroom; relative","genro, parente",,,"Mitchel_Sec5.R (20)",,,,"son-in-law; bridegroom; relative","genro, parente","son-in-law; bridegroom; relative",,"done",,,,,,,,,,,,,,,,,,,,,,
,1463,20,2960,"JHW>XZ/","יְהֹואָחָז",,,,,"nmpr",,"Jehoahaz","Joacaz",,,"Mitchel_Sec5.R (20)",,,,"Jehoahaz","Joacaz","Jehoahaz",,"done",,,,,,,,,,,,,,,,,,,,,,
,1464,20,3036,"JWRM/","יֹורָם",,,,,"nmpr",,"Joram","Jorão",,,"Mitchel_Sec5.R (20)",,,,"Joram","Jorão","Joram",,"done",,,,,,,,,,,,,,,,,,,,,,
,1465,20,3084,"JXF[","יחשׂ","i-waw","ii-guttural",,,"verb","hit","enrol oneself by genealogy",,,,"Mitchel_Sec5.R (20)",,,,"hit: enroll oneself by genealogy;","hit: recensear; ","hit: enroll oneself by genealogy; qal: ; ni: ; pi: ; pu: ; hi: ; ho: ; hst: ","hit: recensear; qal: ; ni: ; pi: ; pu: ; hi: ; ho: ; hst: ","P=5",,,,,,,,,"enroll oneself by genealogy","recensear",,,,,,,,,,,,
,1466,20,3992,"MHRH/","מְהֵרָה",,,,,"subs",,"haste",,,,"Mitchel_Sec5.R (20)",,"(n) speed, haste; (adv) quickly","pressa, ","haste, speed (n); quickly (adv)","pressa, ","haste, speed (n); quickly (adv)",,"done",,,,,,,,,,,,,,,,,,,,,,
,1467,20,4052,"MWC[","מושׁ",,,,"ii-waw","verb","hif qal","depart, cease",,,,"Mitchel_Sec5.R (20)",,,,"qal: withdraw; hi: remove;","qal: XXX; hi: remover; ","qal: withdraw; ni: ; pi: ; pu: ; hit: ; hi: remove; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: remover; ho: ; hst: ","Q=1","withdraw","XXX",,,,,,,,,"remove","remover",,,,,,,,,,
,1468,20,4138,"MXSH/","מַחְסֶה",,,,,"subs",,"refuge, shelter","refúgio, abrigp",,,"Mitchel_Sec5.R (20)",,,,"refuge, shelter","refúgio, abrigp","refuge, shelter",,"done",,,,,,,,,,,,,,,,,,,,,,
,1469,20,4612,"MQLV/","מִקְלָט",,,,,"subs",,"refuge, asylum","refúgio, abrigp",,,"Mitchel_Sec5.R (20)",,,,"refuge, asylum","refúgio, abrigp","refuge, asylum",,"done",,,,,,,,,,,,,,,,,,,,,,
,1470,20,4944,"NDB/","נָדָב",,,,,"nmpr",,"Nadab","Nadabe",,,"Mitchel_Sec5.R (20)",,,,"Nadab","Nadabe","Nadab",,"done",,,,,,,,,,,,,,,,,,,,,,
,1471,20,5514,"<BD_>DWM/","עֹבֵד אֱדֹום",,,,,"nmpr",,"Obed-Edom","Obed",,,"Mitchel_Sec5.R (20)",,,,"Obed-Edom","Obed","Obed-Edom",,"done",,,,,,,,,,,,,,,,,,,,,,
,1472,20,5674,"<ZH/","עַזָּה",,,,,"nmpr",,"Gaza","Gaza",,,"Mitchel_Sec5.R (20)",,,,"Gaza","Gaza","Gaza",,"done",,,,,,,,,,,,,,,,,,,,,,
,1473,20,5814,"<LJH/","עֲלִיָּה",,,,,"subs",,"roof-chamber","quarto superior",,,"Mitchel_Sec5.R (20)",,,,"roof-chamber","quarto superior","roof-chamber",,"done",,,,,,,,,,,,,,,,,,,,,,
,1474,20,6058,"<RJY/","עָרִיץ",,,,,"adjv",,"terrifying, ruthless; tyrant",,,,"Mitchel_Sec5.R (20)",,"(adj) violent, mighty; (n) master","horrível","violent, mighty (adj); master (n)","horrível","violent, mighty (adj); master (n)",,"done",,,,,,,,,,,,,,,,,,,,,,
,1475,20,6371,"PQX[","פקח",,,"iii-guttural",,"verb","nif qal","open",,,,"Mitchel_Sec5.Q (21)",,,,"qal: open;","qal: XXX; ","qal: open; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","open","XXX",,,,,,,,,,,,,,,,,,,,
,1476,20,6676,"YNH/","צִנָּה",,,,,"subs",,"shield","escudo",,,"Mitchel_Sec5.R (20)",,,,"shield","escudo","shield",,"done",,,,,,,,,,,,,,,,,,,,,,
,1477,20,6771,"YR<[","צרע",,"ii-guttural","iii-guttural",,"verb","pual qal","struck with skin-disease",,,,"Mitchel_Sec5.R (20)",,,,"qal: struck with skin-disease;","qal: XXX; ","qal: struck with skin-disease; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","struck with skin-disease","XXX",,,,,,,,,,,,,,,,,,,,
,1478,20,6906,"QJY/","קַיִץ",,,,,"subs",,"summmer; summer fruit","verão",,,"Mitchel_Sec5.R (20)",,,,"summer; summer fruit","verão","summer; summer fruit",,"done",,,,,,,,,,,,,,,,,,,,,,
,1479,20,6969,"QSM[","קסם",,,,"regular","verb","qal","practise divination",,,,"Mitchel_Sec5.R (20)",,,,"qal: practice divination;","qal: XXX; ","qal: practice divination; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","practice divination","XXX",,,,,,,,,,,,,,,,,,,,
